Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
008532-00,Herbizid,Clomazone,360,g/l,,,,0
006316-00,Wachstumsregler,1-Decanol,687,g/l,,,,0
007818-00,Herbizid,Bifenox,480,g/l,,,,0
007818-00,Herbizid,Florasulam,5,g/l,,,,0
005685-64,Wachstumsregler,Trinexapac,222,g/l,Ethylester,250,g/l,0
00B275-00,Fungizid,Folpet,800,g/kg,,,,0
00A540-00,Herbizid,Eisen-II-sulfat,81.61,g/kg,Monohydrat,91.27,g/kg,0
00A519-00,Insektizid,Buprofezin,250,g/l,,,,0
00A949-00,Wachstumsregler,1-Methylcyclopropen,33,g/kg,,,,0
024487-65,"Fungizid, Wachstumsregler",Metconazol,60,g/l,,,,0
026391-00,Fungizid,Ampelomyces quisqualis Stamm AQ 10 5.000.000.000.000cfu/kg,580,g/kg,,,,1
00B225-00,Fungizid,Prothioconazol,250,g/l,,,,0
00B006-00,"Fungizid, Wachstumsregler",Mepiquat,114.43,g/l,Chlorid,150,g/l,0
00B006-00,"Fungizid, Wachstumsregler",Prohexadion,21,g/l,Calcium-Salz,25,g/l,0
00B006-00,"Fungizid, Wachstumsregler",Pyraclostrobin,100,g/l,,,,0
026173-63,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0
024238-00,Fungizid,Tebuconazol,5,g/l,,,,0
024238-00,Fungizid,Fludioxonil,25,g/l,,,,0
060122-96,Herbizid,"2,4-D",8,g/kg,,,,0
060122-96,Herbizid,Dicamba,1.2,g/kg,,,,0
008286-60,Herbizid,Diflufenican,200,g/l,,,,0
008286-60,Herbizid,Flufenacet,400,g/l,,,,0
008950-00,Wachstumsregler,Orangenöl,843.2,g/l,,,,0
006218-00,Herbizid,Clopyralid,80,g/l,,,,0
006218-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144.1,g/l,0
006218-00,Herbizid,Florasulam,2.5,g/l,,,,0
027526-00,Herbizid,Rimsulfuron,30,g/kg,,,,0
027526-00,Herbizid,Nicosulfuron,120,g/kg,,,,0
027526-00,Herbizid,Mesotrione,360,g/kg,,,,0
00B198-00,Molluskizid,Metaldehyd,30,g/kg,,,,0
02A325-00,Fungizid,Kaliumhydrogencarbonat,4.25,g/l,,,,0
02A325-61,Fungizid,Kaliumhydrogencarbonat,4.25,g/l,,,,0
02A948-00,Fungizid,Kaliumhydrogencarbonat,850,g/kg,,,,0
008286-00,Herbizid,Diflufenican,200,g/l,,,,0
008286-00,Herbizid,Flufenacet,400,g/l,,,,0
00B059-00,Herbizid,Clethodim,240,g/l,,,,0
008450-60,Herbizid,MCPA,233,g/l,Kalium-Salz,277.3,g/l,0
008450-60,Herbizid,Clopyralid,28,g/l,Monoethanolamin-Salz,36.9,g/l,0
008450-60,Herbizid,Fluroxypyr,50,g/l,1-Methyl-heptylester,72,g/l,0
024602-00,Herbizid,Metsulfuron,96.3,g/kg,Methylester,100,g/kg,0
024602-00,Herbizid,Carfentrazone,372.8,g/kg,Ethylester,400,g/kg,0
007851-00,Rodentizid,Zinkphosphid,25,g/kg,,,,0
