Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria
006288-00,Herbizid,Dimethenamid-P,200,g/l,,,,0
024365-00,Herbizid,Metazachlor,375,g/l,,,,0
024365-00,Herbizid,Quinmerac,125,g/l,,,,0
00B406-00,Herbizid,Florasulam,16.7,g/l,,,,0
00B406-00,Herbizid,Mesotrione,267,g/l,,,,0
035692-00,Herbizid,Terbuthylazin,330,g/l,,,,0
035692-00,Herbizid,Mesotrione,70,g/l,,,,0
00A093-00,Fungizid,Dithianon,700,g/kg,,,,0
008570-60,Fungizid,Azoxystrobin,250,g/l,,,,0
044660-00,Herbizid,Mesotrione,100,g/l,,,,0
007005-00,Wachstumsregler,Trinexapac,155.6,g/l,Ethylester,175,g/l,0
044660-64,Herbizid,Mesotrione,100,g/l,,,,0
005890-61,Herbizid,Tribenuron,482.3,g/kg,Methylester,500,g/kg,0
00A944-60,Fungizid,Boscalid,233,g/l,,,,0
00A944-60,Fungizid,Prothioconazol,100,g/l,,,,0
00A617-00,Wachstumsregler,Ethephon,660,g/l,,,,0
024034-00,Wachstumsregler,Ethephon,660,g/l,,,,0
025180-00,Fungizid,Boscalid,500,g/kg,,,,0
008825-00,Fungizid,Pyraclostrobin,250,g/l,,,,0
008825-00,Fungizid,Boscalid,150,g/l,,,,0
008357-63,Herbizid,Mesotrione,100,g/l,,,,0
00A997-00,Fungizid,Tebuconazol,125,g/l,,,,0
00A997-00,Fungizid,Prothioconazol,125,g/l,,,,0
00A197-00,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0
00A197-00,Herbizid,Tembotrione,345,g/l,,,,0
00A197-00,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0
008355-00,Fungizid,Captan,800,g/kg,,,,0
024487-00,"Fungizid, Wachstumsregler",Metconazol,60,g/l,,,,0
006415-00,"Fungizid, Wachstumsregler",Mepiquat,160.2,g/l,Chlorid,210,g/l,0
006415-00,"Fungizid, Wachstumsregler",Metconazol,30,g/l,,,,0
053892-00,"Akarizid, Insektizid",Kohlendioxid,999,g/kg,,,,0
005686-61,Insektizid,Acetamiprid,5,g/l,,,,0
007646-00,Fungizid,Cymoxanil,180,g/kg,,,,0
007646-00,Fungizid,Mandipropamid,250,g/kg,,,,0
006284-00,Herbizid,Chlortoluron,600,g/l,,,,0
006284-00,Herbizid,Diflufenican,40,g/l,,,,0
00A742-00,Insektizid,Acetamiprid,200,g/l,,,,0
00B072-00,Insektizid,Acetamiprid,200,g/l,,,,0
006899-60,Fungizid,Fluazinam,500,g/l,,,,0
007135-00,Insektizid,Cydia pomonella Granulovirus mexikanisches Isolat 10.000.000.000.000Granula je l,0.12,g/l,,,,0
007748-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-R5 10.000.000.000.000Granula je l,0.12,g/l,,,,0
00B112-00,Insektizid,Cydia pomonella Granulovirus mexikanisches Isolat 10.000.000.000.000Granula je l,312.5,g/l,,,,0
00B113-00,Insektizid,Cydia pomonella Granulovirus Isolat GV-R5 8.000.000.000.000Granula je l,312.5,g/l,,,,0
006986-00,Herbizid,Dicamba,500,g/kg,Natrium-Salz,550,g/kg,0
006986-00,Herbizid,Prosulfuron,50,g/kg,,,,0
034078-00,Herbizid,Rimsulfuron,250,g/kg,,,,0
00B272-00,Fungizid,Spiroxamine,150,g/l,,,,0
00B272-00,Fungizid,Trifloxystrobin,100,g/l,,,,0
00B272-00,Fungizid,Bixafen,75,g/l,,,,0
00A045-64,Wachstumsregler,Chlormequat,558.3,g/l,Chlorid,720,g/l,0
034046-60,Wachstumsregler,Chlormequat,558.3,g/l,Chlorid,720,g/l,0
005921-00,Fungizid,Pseudomonas chlororaphis Stamm MA 342 2.200.000.000.000cfu/l,110.4,g/l,,,,1
024345-00,Herbizid,Essigsäure,102,g/l,,,,0
006240-60,Herbizid,MCPA,53.74,g/l,Kalium-Salz,68.4,g/l,0
006240-60,Herbizid,Clopyralid,5.38,g/l,Monoethanolamin-Salz,7.08,g/l,0
006240-60,Herbizid,Fluroxypyr,10.76,g/l,1-Methyl-heptylester,15.5,g/l,0
006239-60,Herbizid,MCPA,1.6,g/l,Kalium-Salz,1.905,g/l,0
006239-60,Herbizid,Clopyralid,0.16,g/l,Monoethanolamin-Salz,0.211,g/l,0
006239-60,Herbizid,Fluroxypyr,0.32,g/l,1-Methyl-heptylester,0.46,g/l,0
005747-61,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-61,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-61,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-61,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
024436-74,Insektizid,Azadirachtin,10.6,g/l,,,,0
024213-73,"Akarizid, Insektizid",Rapsöl,17,g/l,,,,0
024213-74,"Akarizid, Insektizid",Rapsöl,17,g/l,,,,0
043743-68,"Akarizid, Insektizid",Rapsöl,785.57,g/l,,,,0
024175-00,Fungizid,Fludioxonil,25,g/l,,,,0
008125-60,Fungizid,Difenoconazol,25,g/l,,,,0
008125-60,Fungizid,Fludioxonil,25,g/l,,,,0
025625-62,Fungizid,Spiroxamine,300,g/l,,,,0
025625-62,Fungizid,Prothioconazol,160,g/l,,,,0
00A851-60,Fungizid,Spiroxamine,107,g/l,,,,0
00A851-60,Fungizid,Trifloxystrobin,80,g/l,,,,0
00A851-60,Fungizid,Prothioconazol,93.3,g/l,,,,0
024798-00,Herbizid,Clomazone,360,g/l,,,,0
024366-60,Herbizid,Clethodim,240,g/l,,,,0
005922-00,Fungizid,Pseudomonas chlororaphis Stamm MA 342 4.000.000.000.000cfu/l,200,g/l,,,,1
007180-62,Fungizid,Azoxystrobin,250,g/l,,,,0
006387-64,Insektizid,lambda-Cyhalothrin,50,g/kg,,,,0
00A462-60,Fungizid,Prothioconazol,250,g/l,,,,0
00A814-60,Fungizid,Spiroxamine,300,g/l,,,,0
00A814-60,Fungizid,Prothioconazol,160,g/l,,,,0
00A961-00,Wachstumsregler,Ethephon,480,g/l,,,,0
006285-00,Wachstumsregler,Ethephon,660,g/l,,,,0
044267-00,"Repellent, Wildschadenverhütungsmittel",Blutmehl,998,g/kg,,,,0
042409-00,"Repellent, Wildschadenverhütungsmittel",,,,,,,0
00A402-00,Herbizid,Picloram,67,g/l,,,,0
00A402-00,Herbizid,Clopyralid,267,g/l,,,,0
008316-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00A472-00,Herbizid,Aclonifen,600,g/l,,,,0
00A074-00,Pheromon,"(E,E)-8,10-Dodecadien-1-ol",180.5,g/kg,,,,0
008858-00,Pheromon,(Z)-9-Dodecen-1-ylacetat,104.2,g/kg,,,,0
008858-00,Pheromon,"(E,Z)-7,9-Dodecadien-1-ylacetat",91.1,g/kg,,,,0
00A992-00,Pheromon,"(E,E)-8,10-Dodecadien-1-ol",70,g/kg,,,,0
00A992-00,Pheromon,(Z)-11-Tetradecen-1-yl-acetat,130,g/kg,,,,0
00A992-00,Pheromon,(Z)-9-Tetradecen-1-yl-acetat,130,g/kg,,,,0
006858-60,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0
006858-60,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0
00B226-60,Fungizid,Spiroxamine,300,g/l,,,,0
00B226-60,Fungizid,Prothioconazol,160,g/l,,,,0
034837-00,Herbizid,Flazasulfuron,250,g/kg,,,,0
034046-00,Wachstumsregler,Chlormequat,558.3,g/l,Chlorid,720,g/l,0
024411-00,Fungizid,Cyprodinil,500,g/kg,,,,0
006922-61,Fungizid,Pyrimethanil,400,g/l,,,,0
00A448-00,Herbizid,Chlortoluron,280,g/l,,,,0
00A448-00,Herbizid,Diflufenican,40,g/l,,,,0
00A448-00,Herbizid,Flufenacet,80,g/l,,,,0
034210-61,"Akarizid, Insektizid",Fettsäure-Kaliumsalze (Kali-Seife),10.2,g/l,,,,0
00B086-00,Wachstumsregler,6-Benzyladenin,19,g/l,,,,0
00B086-00,Wachstumsregler,Gibberelline (GA4/GA7),19,g/l,,,,0
008047-69,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
00B090-00,Wachstumsregler,Ethephon,480,g/l,,,,0
024172-60,"Akarizid, Insektizid",Paraffinöl (CAS 8042-47-5),12,g/l,,,,0
060122-87,Herbizid,"2,4-D",8,g/kg,,,,0
060122-87,Herbizid,Dicamba,1.2,g/kg,,,,0
008794-00,Wachstumsregler,4-(Indol-3-yl)buttersäure,2.49,g/kg,,,,0
00A925-00,Fungizid,Difenoconazol,66,g/l,,,,0
00A925-00,Fungizid,Boscalid,233,g/l,,,,0
00A353-00,Herbizid,Essigsäure,60,g/l,,,,0
00A354-00,Herbizid,Essigsäure,240,g/l,,,,0
00A526-00,Herbizid,Clopyralid,300,g/l,Monoethanolamin-Salz,395.3,g/l,0
008582-00,Herbizid,Clopyralid,720,g/kg,Monoethanolamin-Salz,949.1,g/kg,0
00B368-00,Wachstumsregler,Chlormequat,558.5,g/l,Chlorid,720,g/l,0
00B252-00,Fungizid,Azoxystrobin,200,g/l,,,,0
00B252-00,Fungizid,Prothioconazol,175,g/l,,,,0
00A894-00,Fungizid,Azoxystrobin,250,g/l,,,,0
00B181-00,Herbizid,Triclopyr,150,g/l,Butoxyethylester,209,g/l,0
00B181-00,Herbizid,Fluroxypyr,150,g/l,1-Methyl-heptylester,216,g/l,0
00A771-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.1,g/l,0
00B047-00,Fungizid,Cymoxanil,600,g/kg,,,,0
00A810-00,Herbizid,Prosulfocarb,800,g/l,,,,0
00B250-00,Herbizid,Metamitron,696,g/l,,,,0
00B099-00,Fungizid,Dithianon,700,g/kg,,,,0
00B253-00,Insektizid,Spinosad,480,g/l,,,,0
006401-00,Insektizid,lambda-Cyhalothrin,50,g/l,,,,0
00B085-60,Wachstumsregler,Trinexapac,222.2,g/l,Ethylester,250,g/l,0
00A755-00,Fungizid,Prothioconazol,250,g/l,,,,0
008193-00,Herbizid,Isoxaben,610,g/kg,,,,0
008193-00,Herbizid,Florasulam,40,g/kg,,,,0
028002-00,Herbizid,Quinmerac,250,g/l,,,,0
028002-00,Herbizid,Imazamox,12.5,g/l,,,,0
007777-61,Herbizid,Clomazone,360,g/l,,,,0
00A801-00,Herbizid,Clethodim,240,g/l,,,,0
006281-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.6,g/l,0
00B183-00,Herbizid,Glyphosat,540,g/l,IPA/K-Salz,698.5,g/l,0
007895-00,Herbizid,Clopyralid,600,g/l,Dimethylamin-Salz,741,g/l,0
007777-00,Herbizid,Clomazone,360,g/l,,,,0
006924-00,Herbizid,Clomazone,360,g/l,,,,0
008773-00,Wachstumsregler,4-(Indol-3-yl)buttersäure,3.3,g/l,Kalium-Salz,3.92,g/l,0
008447-00,Insektizid,Sulfoxaflor,120,g/l,,,,0
008532-62,Herbizid,Clomazone,360,g/l,,,,0
044660-61,Herbizid,Mesotrione,100,g/l,,,,0
00A373-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0
00A373-00,Herbizid,Florasulam,1,g/l,,,,0
00A491-00,Fungizid,Pyraclostrobin,67,g/kg,,,,0
00A491-00,Fungizid,Boscalid,267,g/kg,,,,0
00A121-00,"Bakterizid, Fungizid",Kupferoxychlorid,840.2,g/kg,,,,0
00B114-60,Herbizid,Prosulfocarb,800,g/l,,,,0
035203-00,Fungizid,Kresoxim-methyl,100,g/l,,,,0
035203-00,Fungizid,Boscalid,200,g/l,,,,0
00B235-00,Herbizid,Napropamid,450,g/l,,,,0
006324-00,Herbizid,Napropamid,187.5,g/l,,,,0
006324-00,Herbizid,Dimethachlor,187.5,g/l,,,,0
006324-00,Herbizid,Clomazone,30,g/l,,,,0
005948-00,Herbizid,Dimethachlor,500,g/l,,,,0
00A146-00,Herbizid,Dimethachlor,500,g/l,,,,0
008628-00,Insektizid,Rapsöl,848.24,g/l,,,,0
008629-00,Insektizid,Rapsöl,15.27,g/l,,,,0
006275-00,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
027821-00,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027821-00,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
027820-00,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027820-00,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
027820-00,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
007508-00,Herbizid,Pelargonsäure,30.99,g/l,,,,0
007507-00,Herbizid,Pelargonsäure,237.59,g/l,,,,0
00A679-00,Herbizid,Pelargonsäure,580.24,g/l,,,,0
027517-00,Molluskizid,Eisen-III-phosphat,12.5,g/kg,Dihydrat,15.5,g/kg,0
007643-00,"Fungizid, Wachstumsregler",Pyraclostrobin,200,g/l,,,,0
024182-66,"Akarizid, Insektizid",Paraffinöl (CAS 8042-47-5),546,g/l,,,,0
024436-65,Insektizid,Azadirachtin,10.6,g/l,,,,0
050498-63,Fungizid,Schwefel,800,g/kg,,,,0
02A325-60,Fungizid,Kaliumhydrogencarbonat,4.25,g/l,,,,0
007507-61,Herbizid,Pelargonsäure,237.59,g/l,,,,0
027517-60,Molluskizid,Eisen-III-phosphat,12.5,g/kg,Dihydrat,15.5,g/kg,0
007507-60,Herbizid,Pelargonsäure,237.59,g/l,,,,0
007508-60,Herbizid,Pelargonsäure,30.99,g/l,,,,0
008628-61,Insektizid,Rapsöl,848.24,g/l,,,,0
008629-64,Insektizid,Rapsöl,15.27,g/l,,,,0
024436-76,Insektizid,Azadirachtin,10.6,g/l,,,,0
006299-61,Fungizid,Difenoconazol,0.167,g/l,,,,0
006299-60,Fungizid,Difenoconazol,0.167,g/l,,,,0
006171-00,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-00,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
006171-60,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-60,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
006171-61,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-61,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
027820-60,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027820-60,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
027820-60,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
006275-60,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
027821-60,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027821-60,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
008629-62,Insektizid,Rapsöl,15.27,g/l,,,,0
007474-60,Insektizid,Orangenöl,60,g/l,,,,0
008629-65,Insektizid,Rapsöl,15.27,g/l,,,,0
008628-60,Insektizid,Rapsöl,848.24,g/l,,,,0
008629-60,Insektizid,Rapsöl,15.27,g/l,,,,0
008629-61,Insektizid,Rapsöl,15.27,g/l,,,,0
008629-63,Insektizid,Rapsöl,15.27,g/l,,,,0
006171-65,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-65,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
034560-72,Fungizid,Azoxystrobin,250,g/l,,,,0
008182-60,Fungizid,Mandipropamid,250,g/l,,,,0
007507-64,Herbizid,Pelargonsäure,237.59,g/l,,,,0
027820-61,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027820-61,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
027820-61,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
006275-64,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0
027821-67,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0
027821-67,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0
005747-68,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-68,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-68,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-68,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
005747-66,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0
005747-66,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0
005747-66,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0
005747-66,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0
024780-64,Insektizid,Pyrethrine,4.59,g/l,,,,0
024780-64,Insektizid,Rapsöl,825.3,g/l,,,,0
024785-79,Insektizid,Pyrethrine,0.05,g/l,,,,0
024785-79,Insektizid,Rapsöl,8.25,g/l,,,,0
007825-60,Molluskizid,Metaldehyd,25,g/kg,,,,0
027517-61,Molluskizid,Eisen-III-phosphat,12.5,g/kg,Dihydrat,15.5,g/kg,0
024436-87,Insektizid,Azadirachtin,10.6,g/l,,,,0
007029-61,Insektizid,lambda-Cyhalothrin,0.016,g/l,,,,0
006171-63,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-63,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
034560-87,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-88,Fungizid,Azoxystrobin,250,g/l,,,,0
007507-63,Herbizid,Pelargonsäure,237.59,g/l,,,,0
007508-62,Herbizid,Pelargonsäure,30.99,g/l,,,,0
006171-64,"Akarizid, Insektizid",Pyrethrine,0.2,g/l,,,,0
006171-64,"Akarizid, Insektizid",Abamectin,0.015,g/l,,,,0
00A876-00,Herbizid,Diflufenican,14,g/l,,,,0
00A876-00,Herbizid,Prosulfocarb,667,g/l,,,,0
00A876-00,Herbizid,Cloquintocet,0.94,g/l,Mexyl 1-Methyl-hexylester,1.33,g/l,0
00A876-00,Herbizid,Halauxifen-methyl,1.33,g/l,,,,0
024487-61,"Fungizid, Wachstumsregler",Metconazol,60,g/l,,,,0
005984-00,Herbizid,Metsulfuron,38.4,g/kg,Methylester,40,g/kg,0
005984-00,Herbizid,Thifensulfuron,384.5,g/kg,Methylester,400,g/kg,0
025090-62,Fungizid,Azoxystrobin,250,g/l,,,,0
008317-00,Wachstumsregler,6-Benzyladenin,20,g/l,,,,0
006858-61,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0
006858-61,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0
007519-65,"Fungizid, Wachstumsregler",Tebuconazol,250,g/l,,,,0
00A405-00,Wachstumsregler,S-Abscisinsäure,104,g/l,,,,0
025323-72,Molluskizid,Metaldehyd,30,g/kg,,,,0
007402-63,Molluskizid,Metaldehyd,30,g/kg,,,,0
00B026-00,Fungizid,Cymoxanil,450,g/kg,,,,0
008430-00,Herbizid,Foramsulfuron,50,g/l,,,,0
008430-00,Herbizid,Thiencarbazone,28.92,g/l,Methylester,30,g/l,0
008695-00,Fungizid,Kupferhydroxid,461,g/kg,,,,0
008695-00,Fungizid,Cymoxanil,60,g/kg,,,,0
028956-60,Fungizid,Kupferoxychlorid,235.3,g/kg,,,,0
028956-60,Fungizid,Kupferhydroxid,215,g/kg,,,,0
026336-00,Insektizid,Chlorantraniliprole,200,g/l,,,,0
034028-64,"Fungizid, Wachstumsregler",Tebuconazol,250,g/l,,,,0
025662-67,Fungizid,Tebuconazol,125,g/l,,,,0
025662-67,Fungizid,Prothioconazol,125,g/l,,,,0
00A631-00,Herbizid,Rimsulfuron,150,g/kg,,,,0
00A631-00,Herbizid,Nicosulfuron,300,g/kg,,,,0
028533-00,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0
025625-64,Fungizid,Spiroxamine,300,g/l,,,,0
025625-64,Fungizid,Prothioconazol,160,g/l,,,,0
008047-74,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
060122-81,Herbizid,"2,4-D",8,g/kg,,,,0
060122-81,Herbizid,Dicamba,1.2,g/kg,,,,0
00A657-61,Fungizid,Prothioconazol,250,g/l,,,,0
00B125-00,Insektizid,Chlorantraniliprole,200,g/l,,,,0
028511-00,Herbizid,Mefenpyr,129.9,g/kg,Diethylester,135,g/kg,0
028511-00,Herbizid,Iodosulfuron,45,g/kg,Methylester-Na,45,g/kg,0
028511-00,Herbizid,Mesosulfuron,45,g/kg,Methylester-Na,47,g/kg,0
028511-00,Herbizid,Thiencarbazone,37.5,g/kg,Methylester-Na,39.6,g/kg,0
008334-00,Wachstumsregler,Trinexapac,222,g/l,Ethylester,250,g/l,0
006193-66,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0
006193-66,Herbizid,Pelargonsäure,186.7,g/l,,,,0
034028-67,"Fungizid, Wachstumsregler",Tebuconazol,250,g/l,,,,0
025662-66,Fungizid,Tebuconazol,125,g/l,,,,0
025662-66,Fungizid,Prothioconazol,125,g/l,,,,0
008698-61,Herbizid,Nicosulfuron,40,g/l,,,,0
006220-62,Herbizid,Propyzamid,400,g/l,,,,0
00A370-00,Herbizid,Glyphosat,540,g/l,IPA/K-Salz,698.5,g/l,0
00B264-00,Herbizid,Clomazone,360,g/l,,,,0
008135-00,Wachstumsregler,Sintofen,100,g/l,,,,0
025287-63,Fungizid,Prothioconazol,250,g/l,,,,0
008819-00,Herbizid,Fluroxypyr,225,g/l,1-Methyl-heptylester,324,g/l,0
008819-00,Herbizid,Metsulfuron,8.67,g/l,Methylester,9,g/l,0
027233-60,Wachstumsregler,Maleinsäurehydrazid,270,g/l,Kalium-Salz,360,g/l,0
00A475-60,Herbizid,Prosulfocarb,800,g/l,,,,0
043753-61,Herbizid,Chlortoluron,700,g/l,,,,0
00A861-00,Wachstumsregler,Gibberellinsäure,90,g/kg,,,,0
033775-00,Fungizid,"Kupfersulfat, dreibasisch",345,g/l,,,,0
006895-00,Fungizid,Kupferhydroxid,383,g/l,,,,0
034560-85,Fungizid,Azoxystrobin,250,g/l,,,,0
034560-86,Fungizid,Azoxystrobin,250,g/l,,,,0
006867-67,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-67,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
006867-65,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-65,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
006867-66,Fungizid,Tebuconazol,0.125,g/l,,,,0
006867-66,Fungizid,Trifloxystrobin,0.125,g/l,,,,0
007626-61,Fungizid,Tebuconazol,25,g/l,,,,0
00A770-00,Fungizid,Schwefelkalkbrühe,380,g/l,,,,0
025287-60,Fungizid,Prothioconazol,250,g/l,,,,0
00A607-00,Herbizid,Mefenpyr,76.47,g/kg,Diethylester,90,g/kg,0
00A607-00,Herbizid,Iodosulfuron,5.59,g/kg,Methylester-Na,6,g/kg,0
00A607-00,Herbizid,Mesosulfuron,29.16,g/kg,Methylester,30,g/kg,0
00A112-00,Fungizid,Cymoxanil,600,g/kg,,,,0
007537-00,Fungizid,Tebuconazol,200,g/l,,,,0
007537-00,Fungizid,Azoxystrobin,120,g/l,,,,0
008357-60,Herbizid,Mesotrione,100,g/l,,,,0
006401-60,Insektizid,lambda-Cyhalothrin,50,g/l,,,,0
007213-62,Insektizid,lambda-Cyhalothrin,100,g/l,,,,0
00B016-00,Pheromon,"(E,E)-8,10-Dodecadien-1-ol",100,g/kg,,,,0
006968-60,Wachstumsregler,6-Benzyladenin,20.05,g/l,,,,0
008260-00,Fungizid,Cymoxanil,225,g/l,,,,0
00B062-00,Fungizid,Cymoxanil,450,g/kg,,,,0
00A112-60,Fungizid,Cymoxanil,600,g/kg,,,,0
007456-00,Insektizid,Cypermethrin,500,g/l,,,,0
00A794-00,Herbizid,Clomazone,360,g/l,,,,0
00A657-62,Fungizid,Prothioconazol,250,g/l,,,,0
008647-00,Fungizid,Difenoconazol,50,g/l,,,,0
008647-00,Fungizid,Fluxapyroxad,75,g/l,,,,0
034092-63,Fungizid,Fluazinam,500,g/l,,,,0
00A559-60,Herbizid,Mefenpyr,86.6,g/kg,Diethylester,90,g/kg,0
00A559-60,Herbizid,Iodosulfuron,5.6,g/kg,Methylester-Na,6,g/kg,0
00A559-60,Herbizid,Mesosulfuron,29.2,g/kg,Methylester,30,g/kg,0
005685-62,Wachstumsregler,Trinexapac,222,g/l,Ethylester,250,g/l,0
038651-00,Herbizid,Mesotrione,100,g/l,,,,0
005655-60,Insektizid,Acetamiprid,200,g/kg,,,,0
038651-60,Herbizid,Mesotrione,100,g/l,,,,0
034066-62,Herbizid,"2,4-D",500,g/l,Dimethylamin-Salz,602,g/l,0
008627-60,Herbizid,Quizalofop-P-ethyl,50,g/l,,,,0
033838-63,Herbizid,Prosulfocarb,800,g/l,,,,0
00B097-00,Fungizid,Kresoxim-methyl,150,g/l,,,,0
00B097-00,Fungizid,Mefentrifluconazole,100,g/l,,,,0
00A318-00,Fungizid,Pyrimethanil,300,g/kg,,,,0
00B101-00,Insektizid,Deltamethrin,50,g/l,,,,0
007418-00,Insektizid,Deltamethrin,100,g/l,,,,0
006408-61,Insektizid,Pyrethrine,11.45,g/kg,,,,0
006423-61,Insektizid,Pyrethrine,11.45,g/kg,,,,0
006423-61,Insektizid,Piperonylbutoxid,68.67,g/kg,,,,0
033944-00,Insektizid,Magnesiumphosphid,660,g/kg,,,,0
042688-00,Insektizid,Magnesiumphosphid,560,g/kg,,,,0
042688-60,Insektizid,Magnesiumphosphid,560,g/kg,,,,0
008047-73,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0
007825-65,Molluskizid,Metaldehyd,25,g/kg,,,,0
008016-62,Molluskizid,Eisen-III-phosphat,10,g/kg,,,,0
034496-60,Molluskizid,Eisen-III-phosphat,9.9,g/kg,,,,0
060122-60,Herbizid,"2,4-D",8,g/kg,,,,0
060122-60,Herbizid,Dicamba,1.2,g/kg,,,,0
004424-00,Fungizid,Dithianon,700,g/kg,,,,0
008018-00,Fungizid,Dithianon,125,g/l,,,,0
008018-00,Fungizid,Kaliumphosphonat (Kaliumphosphit),561.2,g/l,,,,0
024424-00,Fungizid,Dithianon,700,g/kg,,,,0
00A851-00,Fungizid,Spiroxamine,107,g/l,,,,0
00A851-00,Fungizid,Trifloxystrobin,80,g/l,,,,0
00A851-00,Fungizid,Prothioconazol,93.3,g/l,,,,0
025323-00,Molluskizid,Metaldehyd,30,g/kg,,,,0
050783-61,Insektizid,Aluminiumphosphid,560,g/kg,,,,0
00A311-60,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0
006788-68,Insektizid,Deltamethrin,0.008,g/l,,,,0
006788-66,Insektizid,Deltamethrin,0.008,g/l,,,,0
006788-67,Insektizid,Deltamethrin,0.008,g/l,,,,0
050425-00,"Repellent, Wildschadenverhütungsmittel",Calciumcarbid,800,g/kg,,,,0
008040-00,"Repellent, Wildschadenverhütungsmittel",Calciumcarbid,800,g/kg,,,,0
008485-60,Insektizid,Deltamethrin,25,g/l,,,,0
