Verfahrensgruppe,Arbeitsvorgang,Maschinenkombination,Schlaggrö?e [ha],Bodenbearbeitungswiderstand,Entfernung zum Schlag [km],Menge [-/ha],Arbeitsbreite [m],Teilarbeit,Arbeitszeitbedarf (Akh/ha),Flächenleistung (ha/h),Maschinenkosten: Abschreibung (??,Maschinenkosten: Zinskosten (??,Maschinenkosten: Sonstiges (??,Maschinenkosten: Reparaturen (??,Maschinenkosten: Betriebsstoffe (??,Dieselbedarf (l/ha)
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,30.21,26.27
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,Transport,0.78,0,2.29,0.53,0.36,0.83,3.71,3.23
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.6,,2.76,,119.02,32.05,10.99,34.53,33.92,29.5
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,30.23,26.29
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,Transport,0.78,0,2.29,0.53,0.36,0.82,3.7,3.22
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.7,,2.76,,118.95,32.03,10.98,34.5,33.93,29.51
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,30.26,26.31
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,Transport,0.78,0,2.27,0.53,0.36,0.81,3.69,3.21
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2,5.9,,2.76,,118.78,31.99,10.97,34.45,33.95,29.52
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,32.3,28.09
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,Transport,0.78,0,5.25,1.31,0.8,3.56,4.82,4.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.6,,2.76,,121.98,32.83,11.43,37.26,37.12,32.28
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,32.33,28.11
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,Transport,0.78,0,5.25,1.31,0.8,3.55,4.81,4.18
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.7,,2.76,,121.91,32.81,11.42,37.23,37.14,32.29
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,32.37,28.15
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,Transport,0.78,0,5.23,1.31,0.8,3.54,4.8,4.17
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,2.5,5.9,,2.76,,121.74,32.77,11.41,37.18,37.17,32.32
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,33.11,28.79
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.6,Transport,0.78,0,5.79,1.43,0.88,3.73,4.84,4.21
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.6,,2.76,,122.52,32.95,11.51,37.43,37.95,33
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,33.14,28.82
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.7,Transport,0.78,0,5.78,1.43,0.88,3.72,4.83,4.2
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.7,,2.76,,122.44,32.93,11.5,37.4,37.97,33.02
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,33.21,28.88
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.9,Transport,0.78,0,5.77,1.43,0.88,3.7,4.82,4.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,3,5.9,,2.76,,122.28,32.89,11.49,37.34,38.03,33.07
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,34.68,30.16
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.6,Transport,0.78,0,6.85,1.68,1.05,4.05,4.9,4.26
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.6,,2.76,,123.58,33.2,11.68,37.75,39.58,34.42
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,34.74,30.21
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.7,Transport,0.78,0,6.85,1.68,1.05,4.05,4.89,4.25
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.7,,2.76,,123.51,33.18,11.67,37.73,39.63,34.46
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,34.85,30.3
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.9,Transport,0.78,0,6.83,1.67,1.05,4.03,4.88,4.24
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4,5.9,,2.76,,123.34,33.13,11.66,37.67,39.73,34.54
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,35.45,30.83
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.6,Transport,0.78,0,7.39,1.8,1.14,4.22,4.92,4.28
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.6,,2.76,,124.12,33.32,11.77,37.92,40.37,35.11
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,35.51,30.88
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.7,Transport,0.78,0,7.38,1.8,1.13,4.21,4.92,4.28
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.7,,2.76,,124.04,33.3,11.75,37.89,40.43,35.16
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,35.63,30.98
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.9,Transport,0.78,0,7.36,1.8,1.13,4.2,4.9,4.26
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,4.5,5.9,,2.76,,123.87,33.26,11.74,37.84,40.53,35.24
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,37.66,32.75
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.6,Transport,0.78,0,8.98,2.17,1.39,4.71,5,4.35
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.6,,2.76,,125.71,33.69,12.02,38.41,42.66,37.1
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,37.75,32.83
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.7,Transport,0.78,0,8.98,2.17,1.39,4.71,5,4.35
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.7,,2.76,,125.64,33.67,12.01,38.39,42.75,37.18
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,37.92,32.97
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.9,Transport,0.78,0,8.96,2.17,1.38,4.69,4.98,4.33
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,6,5.9,,2.76,,125.47,33.63,11.99,38.33,42.9,37.3
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.6,Feldarbeit,1.98,3.9,116.73,31.52,10.63,33.7,40.47,35.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.6,Transport,0.78,0,11.11,2.66,1.72,5.37,5.11,4.44
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.6,,2.76,,127.84,34.18,12.35,39.07,45.58,39.63
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.7,Feldarbeit,1.98,3.91,116.66,31.5,10.62,33.68,40.58,35.29
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.7,Transport,0.78,0,11.11,2.66,1.72,5.36,5.11,4.44
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.7,,2.76,,127.77,34.16,12.34,39.04,45.69,39.73
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.9,Feldarbeit,1.98,3.93,116.51,31.46,10.61,33.64,40.81,35.49
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.9,Transport,0.78,0,11.09,2.66,1.72,5.35,5.09,4.43
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,1,8,5.9,,2.76,,127.6,34.12,12.33,38.99,45.9,39.92
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.6,Feldarbeit,2,3.9,118.27,31.93,10.75,34.1,31.86,27.7
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.6,Transport,0.78,0,4.76,1.2,0.72,3.44,4.82,4.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.6,,2.78,,123.03,33.13,11.47,37.54,36.68,31.89
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.7,Feldarbeit,2,3.91,118.2,31.91,10.75,34.09,31.88,27.72
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.7,Transport,0.78,0,4.75,1.2,0.72,3.43,4.82,4.19
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.7,,2.78,,122.95,33.11,11.47,37.52,36.7,31.91
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.9,Feldarbeit,2,3.93,118.05,31.87,10.74,34.05,31.9,27.74
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.9,Transport,0.78,0,4.74,1.19,0.72,3.41,4.81,4.18
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2,5.9,,2.78,,122.79,33.06,11.46,37.46,36.71,31.92
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.6,Feldarbeit,2,3.9,118.27,31.93,10.75,34.1,32.69,28.43
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.6,Transport,0.78,0,5.29,1.32,0.81,3.6,4.85,4.22
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.6,,2.78,,123.56,33.25,11.56,37.7,37.54,32.65
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.7,Feldarbeit,2,3.91,118.2,31.91,10.75,34.09,32.72,28.45
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.7,Transport,0.78,0,5.28,1.32,0.8,3.59,4.84,4.21
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.7,,2.78,,123.48,33.23,11.55,37.68,37.56,32.66
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.9,Feldarbeit,2,3.93,118.05,31.87,10.74,34.05,32.76,28.49
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.9,Transport,0.78,0,5.27,1.32,0.8,3.58,4.83,4.2
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,2.5,5.9,,2.78,,123.32,33.19,11.54,37.63,37.59,32.69
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.6,Feldarbeit,2,3.9,118.27,31.93,10.75,34.1,33.5,29.13
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.6,Transport,0.78,0,5.82,1.44,0.89,3.76,4.88,4.24
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.6,,2.78,,124.09,33.37,11.64,37.86,38.38,33.37
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.7,Feldarbeit,2,3.91,118.2,31.91,10.75,34.09,33.53,29.16
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.7,Transport,0.78,0,5.82,1.44,0.89,3.76,4.86,4.23
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.7,,2.78,,124.02,33.35,11.64,37.85,38.39,33.39
Mähdrusch,"Mähdrusch von Hafer, Dinkel mit Umladewagen; Strohablage in Schwad","Komplex 2 Mähdrescher, 10.500 l, 275 kW; Schneidwerk, 6 m, Umladewagen, 19 m³; 120 kW",0.5,-,2,3,5.9,Feldarbeit,2,3.93,118.05,31.87,10.74,34.05,33.6,29.22
