Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
034066-62,Herbizid,"2,4-D",500,g/l,Dimethylamin-Salz,602,g/l,0,4
008627-60,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
033838-63,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
008047-73,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-60,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-60,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A311-60,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
005747-67,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-67,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-67,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-67,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
00A126-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
008288-60,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
00A945-60,Herbizid,MCPA,161,g/l,Kalium/Natrium-Salz,184.09,g/l,0,4
00A945-60,Herbizid,Dicamba,17.8,g/l,Natrium-Salz,19.57,g/l,0,4
008288-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
00A862-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,286.5,g/l,0,4
060939-62,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.35,g/l,0,4
005747-00,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-00,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-00,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-00,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
005747-63,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-63,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-63,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-63,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
005985-00,Herbizid,Diflufenican,500,g/l,"",,"",0,12
008386-00,Herbizid,Quizalofop-P-ethyl,108,g/l,"",,"",0,
034060-61,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0,1
008323-00,Herbizid,Dicamba,400,g/kg,"",,"",0,4
008323-00,Herbizid,Prosulfuron,40,g/kg,"",,"",0,2
008323-00,Herbizid,Nicosulfuron,100,g/kg,"",,"",0,2
008400-60,Herbizid,Flufenacet,480,g/l,"",,"",0,15
00B258-00,Herbizid,Florasulam,50,g/l,"",,"",0,2
006228-00,Herbizid,Metsulfuron,137.16,g/kg,Methylester,142.8,g/kg,0,2
006228-00,Herbizid,Tribenuron,137.566,g/kg,Methylester,143,g/kg,0,2
006220-64,Herbizid,Propyzamid,400,g/l,"",,"",0,3
006427-61,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
026427-61,Herbizid,Tribenuron,723.4,g/kg,Methylester,750,g/kg,0,2
026923-00,Herbizid,Glyphosat,480,g/l,Dimethylamin-Salz,608,g/l,0,9
024646-62,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
00A802-00,Herbizid,Thifensulfuron,89.25,g/kg,Methylester,92.6,g/kg,0,2
00A802-00,Herbizid,Rimsulfuron,148.15,g/kg,"",,"",0,2
00A802-00,Herbizid,Isoxadifen,100.57,g/kg,Ethylester,111.11,g/kg,0,
025078-62,Herbizid,Pethoxamid,600,g/l,"",,"",0,15
006396-61,Herbizid,MCPA,200,g/l,"",,"",0,4
006396-61,Herbizid,Clopyralid,20,g/l,"",,"",0,4
006396-61,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,57.64,g/l,0,4
008698-60,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
043729-00,Herbizid,Dichlorprop-P,600,g/l,Kalium-Salz,696.558,g/l,0,4
053678-00,Herbizid,Mecoprop-P,600,g/l,Kalium-Salz,706,g/l,0,4
00A021-00,Herbizid,MCPA,160,g/l,"",,"",0,4
00A021-00,Herbizid,Dichlorprop-P,310,g/l,"",,"",0,4
00A021-00,Herbizid,Mecoprop-P,130,g/l,"",,"",0,4
044044-61,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.39,g/l,0,9
00A164-00,Herbizid,Glyphosat,360,g/l,Kalium-Salz,441,g/l,0,9
00A649-00,Herbizid,Aclonifen,600,g/l,"",,"",0,32
005866-00,Herbizid,Picloram,67,g/l,"",,"",0,4
005866-00,Herbizid,Clopyralid,267,g/l,"",,"",0,4
00A411-00,Herbizid,Quizalofop-P-ethyl,50,g/l,"",,"",0,
006960-00,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
006960-00,Herbizid,Mesotrione,75,g/l,"",,"",0,27
00A322-00,Herbizid,MCPA,750,g/l,Dimethylamin-Salz,918.5,g/l,0,4
00B230-00,Herbizid,Metazachlor,500,g/l,"",,"",0,15
007201-61,Herbizid,Diflufenican,360,g/kg,"",,"",0,12
007201-61,Herbizid,Iodosulfuron,9.32,g/kg,Methylester-Na,10,g/kg,0,2
006858-00,Herbizid,Metsulfuron,65.5,g/kg,Methylester,68,g/kg,0,2
006858-00,Herbizid,Thifensulfuron,657.4,g/kg,Methylester,682,g/kg,0,2
00A818-00,Herbizid,Ethofumesat,500,g/l,"",,"",0,
024646-65,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
024645-68,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
005747-65,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-65,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-65,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-65,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
024646-66,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
024645-70,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
008047-64,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-91,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-91,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-64,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-64,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008532-60,Herbizid,Clomazone,360,g/l,"",,"",0,13
008660-00,Herbizid,Clethodim,140,g/l,"",,"",0,1
008660-00,Herbizid,Quizalofop-P-ethyl,70,g/l,"",,"",0,
007486-00,Herbizid,Glyphosat,619,g/kg,Ammonium-Salz,681.2,g/kg,0,9
00A846-61,Herbizid,Essigsäure,60,g/l,"",,"",0,
00A083-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
026330-00,Herbizid,Diflufenican,100,g/l,"",,"",0,12
026330-00,Herbizid,Penoxsulam,15,g/l,"",,"",0,2
00A504-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00B031-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
008400-00,Herbizid,Flufenacet,480,g/l,"",,"",0,15
008975-00,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
033838-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
024645-61,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
006177-60,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0,
006177-60,Herbizid,Pelargonsäure,31.02,g/l,"",,"",0,
006177-61,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0,
006177-61,Herbizid,Pelargonsäure,31.02,g/l,"",,"",0,
024646-00,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
006177-00,Herbizid,Maleinsäurehydrazid,4.95,g/l,Kalium-Salz,6.63,g/l,0,
006177-00,Herbizid,Pelargonsäure,31.02,g/l,"",,"",0,
024646-63,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
006193-65,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-65,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
006193-60,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-60,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
006193-62,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-62,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
006193-00,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-00,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
006193-61,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-61,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
024645-60,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
024645-00,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
006193-64,Herbizid,Maleinsäurehydrazid,30,g/l,Kalium-Salz,40.17,g/l,0,
006193-64,Herbizid,Pelargonsäure,186.7,g/l,"",,"",0,
024645-66,Herbizid,Pelargonsäure,186.7,g/l,Ammonium-Salz,206.8,g/l,0,
024646-60,Herbizid,Pelargonsäure,31.02,g/l,Grundkörper,34.4,g/l,0,
007158-00,Herbizid,Metsulfuron,64.2,g/kg,Methylester,66.6,g/kg,0,2
007158-00,Herbizid,Thifensulfuron,321.4,g/kg,Methylester,333.5,g/kg,0,2
026298-00,Herbizid,Metsulfuron,192.7,g/kg,Methylester,200,g/kg,0,2
028854-00,Herbizid,Tribenuron,481.03,g/kg,Methylester,500,g/kg,0,2
028866-00,Herbizid,Tribenuron,241.15,g/kg,Methylester,250,g/kg,0,2
028866-00,Herbizid,Florasulam,104,g/kg,"",,"",0,2
008806-00,Herbizid,Diflufenican,500,g/l,"",,"",0,12
008859-60,Herbizid,Flufenacet,500,g/l,"",,"",0,15
043673-00,Herbizid,Isoxaben,500,g/l,"",,"",0,29
060122-79,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-79,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A501-00,Herbizid,Fluazifop-P,128.05,g/l,Butylester,150,g/l,0,1
008859-00,Herbizid,Flufenacet,500,g/l,"",,"",0,15
00A875-00,Herbizid,Fluroxypyr,400,g/l,1-Methyl-heptylester,576,g/l,0,4
008413-00,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
008413-00,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
008981-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
006914-00,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
006914-66,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
00A590-62,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288.078,g/l,0,4
008670-60,Herbizid,Fluazifop-P,106.7,g/l,Butylester,125,g/l,0,1
00B332-00,Herbizid,Mesotrione,480,g/l,"",,"",0,27
028124-62,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A797-00,Herbizid,Florasulam,50,g/l,"",,"",0,2
033964-00,Herbizid,Cycloxydim,100,g/l,"",,"",0,1
008116-00,Herbizid,Fluroxypyr,333,g/l,1-Methyl-heptylester,480,g/l,0,4
024193-00,Herbizid,Bifenox,480,g/l,"",,"",0,14
008400-62,Herbizid,Flufenacet,480,g/l,"",,"",0,15
008357-62,Herbizid,Mesotrione,100,g/l,"",,"",0,27
008670-00,Herbizid,Fluazifop-P,106.7,g/l,Butylester,125,g/l,0,1
00A442-60,Herbizid,Fluazifop-P,106.742,g/l,Butylester,125,g/l,0,1
008443-00,Herbizid,Metobromuron,400,g/l,"",,"",0,5
006179-00,Herbizid,Metazachlor,500,g/l,"",,"",0,15
007459-00,Herbizid,Metazachlor,375,g/l,"",,"",0,15
007459-00,Herbizid,Quinmerac,125,g/l,"",,"",0,4
024847-00,Herbizid,Fluazifop-P,107,g/l,Butylester,125,g/l,0,1
006366-60,Herbizid,Metsulfuron,57.8,g/kg,Methylester,60,g/kg,0,2
006366-60,Herbizid,Diflufenican,600,g/kg,"",,"",0,12
060122-78,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-78,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008943-00,Herbizid,Picloram,8,g/l,"",,"",0,4
008943-00,Herbizid,Pethoxamid,400,g/l,"",,"",0,15
008772-60,Herbizid,Picloram,67,g/l,Monoethanolamin-Salz,84,g/l,0,4
008772-60,Herbizid,Clopyralid,267,g/l,Monoethanolamin-Salz,352,g/l,0,4
006914-60,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
024798-60,Herbizid,Clomazone,360,g/l,"",,"",0,13
060122-74,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-74,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008047-63,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
007003-60,Herbizid,Triclopyr,150,g/l,Butoxyethylester,209,g/l,0,4
007003-60,Herbizid,Fluroxypyr,150,g/l,1-Methyl-heptylester,216,g/l,0,4
005747-64,Herbizid,"2,4-D",70,g/l,Dimethylamin-Salz,84.3,g/l,0,4
005747-64,Herbizid,MCPA,70,g/l,Dimethylamin-Salz,85.7,g/l,0,4
005747-64,Herbizid,Dicamba,20,g/l,Dimethylamin-Salz,24.1,g/l,0,4
005747-64,Herbizid,Mecoprop-P,42,g/l,Dimethylamin-Salz,50.8,g/l,0,4
008047-68,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-66,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-66,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-75,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-75,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008047-60,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-72,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-72,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008047-61,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
00A588-60,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
00A588-60,Herbizid,Mesotrione,80,g/l,"",,"",0,27
008400-64,Herbizid,Flufenacet,480,g/l,"",,"",0,15
00A606-61,Herbizid,Clopyralid,80,g/l,"",,"",0,4
00A606-61,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A606-61,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
008288-63,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
008633-00,Herbizid,"2,4-D",360,g/l,Ethylhexylester,543,g/l,0,4
008633-00,Herbizid,Fluroxypyr,90,g/l,1-Methyl-heptylester,130,g/l,0,4
008089-00,Herbizid,Picloram,13.3,g/l,Triisopropanolammonium,23.8,g/l,0,4
008089-00,Herbizid,Metazachlor,500,g/l,"",,"",0,15
008089-00,Herbizid,Aminopyralid,5.3,g/l,Triisopropanolammonium,10.2,g/l,0,4
008147-00,Herbizid,Cloquintocet,5.35,g/l,Mexyl 1-Methyl-hexylester,7.5,g/l,0,
008147-00,Herbizid,Halauxifen-methyl,7.81,g/l,"",,"",0,4
008831-00,Herbizid,"","","",Mexyl 1-Methyl-hexylester,5.58,g/l,0,
008831-00,Herbizid,Florasulam,5,g/l,"",,"",0,2
008831-00,Herbizid,Halauxifen-methyl,6.25,g/l,"",,"",0,4
00A685-00,Herbizid,Dicamba,510.42,g/kg,Natrium-Salz,561.48,g/kg,0,4
00A685-00,Herbizid,Rimsulfuron,31.25,g/kg,"",,"",0,2
00A685-00,Herbizid,Nicosulfuron,62.475,g/kg,"",,"",0,2
00A685-00,Herbizid,Isoxadifen,28.28,g/kg,Ethylester,31.25,g/kg,0,
00A782-00,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,488,g/l,0,9
008309-60,Herbizid,Metamitron,571,g/l,"",,"",0,5
008309-60,Herbizid,Quinmerac,71,g/l,"",,"",0,4
00A190-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
006470-00,Herbizid,Metamitron,700,g/l,"",,"",0,5
025037-00,Herbizid,Ethofumesat,150,g/l,"",,"",0,
025037-00,Herbizid,Metamitron,350,g/l,"",,"",0,5
007529-00,Herbizid,Metamitron,525,g/l,"",,"",0,5
007529-00,Herbizid,Quinmerac,40,g/l,"",,"",0,4
034060-60,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0,1
034060-62,Herbizid,Quizalofop-P,46.3,g/l,Ethylester,50,g/l,0,1
008386-60,Herbizid,Quizalofop-P-ethyl,108,g/l,"",,"",0,
00B050-00,Herbizid,Dicamba,0.468,g/kg,Kalium-Salz,0.549,g/kg,0,4
00B050-00,Herbizid,Eisen-II-sulfat,163,g/kg,"",,"",0,
00B050-00,Herbizid,Mecoprop-P,3.75,g/kg,"",,"",0,4
060122-99,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-99,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-83,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-83,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
006220-60,Herbizid,Propyzamid,400,g/l,"",,"",0,3
035671-00,Herbizid,Metsulfuron,192.64,g/kg,Methylester,200,g/kg,0,2
060122-77,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-77,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-82,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-82,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
060122-94,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-94,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00A555-00,Herbizid,MCPA,300,g/l,Kalium-Salz,357,g/l,0,4
00A555-00,Herbizid,Dicamba,40,g/l,Natrium-Salz,44,g/l,0,4
008675-00,Herbizid,MCPA,200,g/l,Kalium-Salz,231.83,g/l,0,4
008675-00,Herbizid,Clopyralid,20,g/l,Monoethanolamin-Salz,25.08,g/l,0,4
008675-00,Herbizid,Fluroxypyr,40,g/l,1-Methyl-heptylester,54.72,g/l,0,4
007176-00,Herbizid,MCPA,500,g/l,Dimethylamin-Salz,612.41,g/l,0,4
028124-60,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A579-00,Herbizid,Glyphosat,180,g/l,Isopropylamin-Salz,242.9,g/l,0,9
005950-00,Herbizid,Thifensulfuron,480.6,g/kg,Methylester,500,g/kg,0,2
008529-63,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
005878-00,Herbizid,Diflufenican,200,g/l,"",,"",0,12
005878-00,Herbizid,Flufenacet,400,g/l,"",,"",0,15
034837-61,Herbizid,Flazasulfuron,250,g/kg,"",,"",0,2
024128-00,Herbizid,Amidosulfuron,750,g/kg,"",,"",0,2
024778-00,Herbizid,Amidosulfuron,125,g/kg,"",,"",0,2
024778-00,Herbizid,Iodosulfuron,11.6,g/kg,Methylester-Na,12.5,g/kg,0,2
00A415-00,Herbizid,Diflufenican,500,g/l,"",,"",0,12
00A554-00,Herbizid,Fluroxypyr,200,g/l,1-Methyl-heptylester,288,g/l,0,4
036209-00,Herbizid,Mefenpyr,288.6,g/l,Diethylester,300,g/l,0,
036209-00,Herbizid,Iodosulfuron,93.1,g/l,Methylester-Na,100,g/l,0,2
027603-00,Herbizid,Mefenpyr,240.5,g/l,Diethylester,250,g/l,0,
027603-00,Herbizid,Iodosulfuron,46.56,g/l,Methylester-Na,50,g/l,0,2
027603-00,Herbizid,Mesosulfuron,7.29,g/l,Methylester-Na,7.83,g/l,0,2
008818-00,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006275-62,Herbizid,Eisen-II-sulfat,238,g/kg,Monohydrat,266,g/kg,0,
027821-65,Herbizid,"2,4-D",3.3,g/kg,Dimethylamin-Salz,3.97,g/kg,0,4
027821-65,Herbizid,Dicamba,1.6,g/kg,Dimethylamin-Salz,1.93,g/kg,0,4
00A552-00,Herbizid,Mefenpyr,95.5,g/kg,Diethylester,112.5,g/kg,0,
00A552-00,Herbizid,Mesosulfuron,45,g/kg,Methylester-Na,47,g/kg,0,2
00A552-00,Herbizid,Thiencarbazone,15,g/kg,Methylester-Na,15.8,g/kg,0,2
060122-85,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-85,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
007932-60,Herbizid,Metobromuron,500,g/l,"",,"",0,5
028610-61,Herbizid,Amidosulfuron,50,g/kg,Natrium-Salz,53,g/kg,0,2
028610-61,Herbizid,Mefenpyr,86.58,g/kg,Diethylester,90,g/kg,0,
028610-61,Herbizid,Iodosulfuron,9.312,g/kg,Methylester-Na,10,g/kg,0,2
028610-61,Herbizid,Mesosulfuron,29.16,g/kg,Methylester-Na,31.324,g/kg,0,2
007818-60,Herbizid,Bifenox,480,g/l,"",,"",0,14
007818-60,Herbizid,Florasulam,5,g/l,"",,"",0,2
024602-60,Herbizid,Metsulfuron,96.3,g/kg,Methylester,100,g/kg,0,2
024602-60,Herbizid,Carfentrazone,372.8,g/kg,Ethylester,400,g/kg,0,14
006288-60,Herbizid,Metazachlor,200,g/l,"",,"",0,15
006288-60,Herbizid,Dimethenamid-P,200,g/l,"",,"",0,15
044660-63,Herbizid,Mesotrione,100,g/l,"",,"",0,27
006960-60,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
006960-60,Herbizid,Mesotrione,75,g/l,"",,"",0,27
006839-60,Herbizid,Pendimethalin,400,g/l,"",,"",0,3
044622-60,Herbizid,Florasulam,50,g/l,"",,"",0,2
025078-60,Herbizid,Pethoxamid,600,g/l,"",,"",0,15
007738-00,Herbizid,Nicosulfuron,240,g/l,"",,"",0,2
00A432-00,Herbizid,Clomazone,80,g/l,"",,"",0,13
00A432-00,Herbizid,Mesotrione,150,g/l,"",,"",0,27
00A197-61,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0,
00A197-61,Herbizid,Tembotrione,345,g/l,"",,"",0,27
00A197-61,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0,2
00A431-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,640.3,g/l,0,4
060122-90,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-90,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
00B141-60,Herbizid,Clethodim,240,g/l,"",,"",0,1
008324-00,Herbizid,Diflufenican,14,g/l,"",,"",0,12
008324-00,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00A952-00,Herbizid,Diflufenican,14,g/l,"",,"",0,12
00A952-00,Herbizid,Prosulfocarb,667,g/l,"",,"",0,15
00B289-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
00A588-00,Herbizid,Nicosulfuron,30,g/l,"",,"",0,2
00A588-00,Herbizid,Mesotrione,80,g/l,"",,"",0,27
00B068-00,Herbizid,Propaquizafop,100,g/l,"",,"",0,1
028571-60,Herbizid,Mefenpyr,114.7,g/kg,Diethylester,135,g/kg,0,
028571-60,Herbizid,Iodosulfuron,8.39,g/kg,Methylester-Na,9,g/kg,0,2
028571-60,Herbizid,Mesosulfuron,41.87,g/kg,Methylester-Na,47,g/kg,0,2
028571-60,Herbizid,Thiencarbazone,21.7,g/kg,Methylester-Na,23.8,g/kg,0,2
00A311-00,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
008288-61,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
007958-62,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
006911-00,Herbizid,Metazachlor,300,g/l,"",,"",0,15
006911-00,Herbizid,Quinmerac,100,g/l,"",,"",0,4
006911-00,Herbizid,Dimethenamid-P,100,g/l,"",,"",0,15
034837-60,Herbizid,Flazasulfuron,250,g/kg,"",,"",0,2
008527-00,Herbizid,Pelargonsäure,500,g/l,"",,"",0,
034409-64,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
00A504-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00A810-60,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
006220-00,Herbizid,Propyzamid,400,g/l,"",,"",0,3
060122-68,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-68,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
008309-00,Herbizid,Metamitron,571,g/l,"",,"",0,5
008309-00,Herbizid,Quinmerac,71,g/l,"",,"",0,4
008337-00,Herbizid,Mesotrione,100,g/l,"",,"",0,27
008450-00,Herbizid,MCPA,233,g/l,Kalium-Salz,277.3,g/l,0,4
008450-00,Herbizid,Clopyralid,28,g/l,Monoethanolamin-Salz,36.9,g/l,0,4
008450-00,Herbizid,Fluroxypyr,50,g/l,1-Methyl-heptylester,72,g/l,0,4
006914-65,Herbizid,Fluroxypyr,180,g/l,1-Methyl-heptylester,259,g/l,0,4
060122-73,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-73,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
028938-00,Herbizid,Clopyralid,120,g/l,"",,"",0,4
028938-00,Herbizid,Halauxifen-methyl,5,g/l,"",,"",0,4
007200-00,Herbizid,"2,4-D",160,g/l,Dimethylamin-Salz,192.7,g/l,0,4
007200-00,Herbizid,Glyphosat,240,g/l,Isopropylamin-Salz,324,g/l,0,9
00A767-00,Herbizid,Picloram,48,g/l,"",,"",0,4
00A767-00,Herbizid,Aminopyralid,32,g/l,"",,"",0,4
00A767-00,Herbizid,Halauxifen-methyl,10,g/l,"",,"",0,4
00A606-62,Herbizid,Clopyralid,80,g/l,"",,"",0,4
00A606-62,Herbizid,Fluroxypyr,100,g/l,1-Methyl-heptylester,144,g/l,0,4
00A606-62,Herbizid,Florasulam,2.5,g/l,"",,"",0,2
008288-62,Herbizid,Dicamba,480,g/l,Dimethylamin-Salz,577.9,g/l,0,4
060122-89,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-89,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
026923-61,Herbizid,Glyphosat,480,g/l,Dimethylamin-Salz,608,g/l,0,9
008047-72,Herbizid,Eisen-II-sulfat,163,g/kg,Monohydrat,182,g/kg,0,
060122-62,Herbizid,"2,4-D",8,g/kg,"",,"",0,4
060122-62,Herbizid,Dicamba,1.2,g/kg,"",,"",0,4
026255-00,Herbizid,"","","",Ethylester,22,g/l,0,
026255-00,Herbizid,Tembotrione,44,g/l,"",,"",0,27
007463-00,Herbizid,Isoxadifen,90.5,g/kg,Ethylester,100,g/kg,0,
