Zulassungsnr,Wirkungsbereich,Wirkstoff_Main,Gehalt_Main,Einhalt_Main,Wirkstoff_Compound,Gehalt_Compound,Einhalt_Compound,Organismus_Bakteria,HRAC
028571-00,Herbizid,Mesosulfuron,41.87,g/kg,Methylester-Na,47,g/kg,0,2
028571-00,Herbizid,Thiencarbazone,21.7,g/kg,Methylester-Na,23.8,g/kg,0,2
044915-00,Herbizid,Propoxycarbazone,663.4,g/kg,Natrium-Salz,700,g/kg,0,2
005322-00,Herbizid,Carfentrazone,371.79,g/kg,Ethylester,400,g/kg,0,14
033838-64,Herbizid,Prosulfocarb,800,g/l,"",,"",0,15
00A197-62,Herbizid,Isoxadifen,108.1,g/l,Ethylester,134,g/l,0,
00A197-62,Herbizid,Tembotrione,345,g/l,"",,"",0,27
00A197-62,Herbizid,Thiencarbazone,65.55,g/l,Methylester,68,g/l,0,2
008178-00,Herbizid,Cloquintocet,8.33,g/l,Mexyl 1-Methyl-hexylester,8.33,g/l,0,
008178-00,Herbizid,Pinoxaden,33.3,g/l,"",,"",0,1
008178-00,Herbizid,Pyroxsulam,8.33,g/l,"",,"",0,2
026845-00,Herbizid,Cloquintocet,7.96,g/l,Mexyl 1-Methyl-hexylester,11.25,g/l,0,
026845-00,Herbizid,Florasulam,5,g/l,"",,"",0,2
026845-00,Herbizid,Pinoxaden,45,g/l,"",,"",0,1
026326-00,Herbizid,Cloquintocet,8.85,g/l,Mexyl 1-Methyl-hexylester,12.5,g/l,0,
026326-00,Herbizid,Pinoxaden,50,g/l,"",,"",0,1
007938-00,Herbizid,Mesotrione,500,g/kg,"",,"",0,27
00A501-60,Herbizid,Fluazifop-P,128.05,g/l,Butylester,150,g/l,0,1
007958-60,Herbizid,Nicosulfuron,40,g/l,"",,"",0,2
034145-00,Herbizid,Aclonifen,600,g/l,"",,"",0,32
00A076-00,Herbizid,Dicamba,480,g/l,"",,"",0,4
026173-60,Herbizid,Glyphosat,360,g/l,Isopropylamin-Salz,485.8,g/l,0,9
