"","Wirkstoff_Main","Normalized_Wirkstoff"
"143","Pseudomonas chlororaphis Stamm MA 342 4.000.000.000.000cfu/l","Pseudomonas chlororaphis strain MA342"
"144","Blutmehl","Blood meal"
"145","",""
"146","(E,E)-8,10-Dodecadien-1-ol","(E,E)-8,10-Dodecadien-1-ol"
"147","(Z)-11-Tetradecen-1-yl-acetat","(Z)-11-Tetradecen-1-yl-acetat"
"148","(Z)-9-Tetradecen-1-yl-acetat","(Z)-9-Tetradecen-1-yl-acetat"
"149","Flazasulfuron","Flazasulfuron"
"150","Cyprodinil","Cyprodinil"
"151","Fettsäure-Kaliumsalze (Kali-Seife)","Fatty acids unsaturated potassium salts (generic)"
"152","6-Benzyladenin","6-Benzyladenin"
"153","Gibberelline (GA4/GA7)","Gibberellins"
"154","4-(Indol-3-yl)buttersäure","4-(Indol-3-yl)buttersäure"
"155","Triclopyr","Triclopyr"
"156","Spinosad","Spinosad"
"157","Isoxaben","Isoxaben"
"158","Imazamox","Imazamox"
"159","Sulfoxaflor","Sulfoxaflor"
"160","Kresoxim-methyl","Kresoxim-methyl"
"161","Dimethachlor","Dimethachlor"
"162","S-Abscisinsäure","S-Abscisinsäure"
"163","Foramsulfuron","Foramsulfuron"
"164","Maleinsäurehydrazid","Maleic hydrazide"
"165","Sintofen","Sintofen"
"166","Kupfersulfat, dreibasisch","Copper sulphate"
"167","Schwefelkalkbrühe","Sulphur"
"168","Cypermethrin","Cypermethrin"
"169","Magnesiumphosphid","Magnesium phosphide"
"170","Aluminiumphosphid","Aluminium phosphide"
"171","Imazalil","Imazalil"
"172","Pyriofenone","Pyriofenone"
"173","Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 11.700.000.000.000cfu/kg","Bacillus thuringiensis subsp. kurstaki strain ABTS 351"
"174","Dodin","Dodine"
"175","Pethoxamid","Pethoxamid"
"176","Dichlorprop-P","Dichlorprop-P"
"177","Verticillium albo-atrum Stamm WCS850 10.000.000.000cfu/l","Verticillium albo-atrum"
"178","Cyflufenamid","Cyflufenamid"
"179","Benzovindiflupyr","Benzovindiflupyr"
"180","Ametoctradin","Ametoctradin"
"181","Fischöl","Fischöl"
"182","Maltodextrin","Maltodextrin"
"183","tau-Fluvalinat","Tau-fluvalinate"
"184","Penoxsulam","Penoxsulam"
"185","Tefluthrin","Tefluthrin"
"186","Benalaxyl-M","Benalaxyl-M"
"187","1-Naphthylessigsäure","1-naphthylacetic acid"
"188","Metrafenone","Metrafenone"
"189","Flutolanil","Flutolanil"
"190","Bifenazate","Bifenazate"
"191","Bacillus thuringiensis subspecies aizawai Stamm ABTS-1857 (540 g/kg Grundkörper) 15.000IU/mg","Bacillus thuringiensis subsp. aizawai strain ABTS-1857"
"192","Cycloxydim","Cycloxydim"
"193","Metalaxyl-M","Metalaxyl-M"
"194","Fenpropidin","Fenpropidin"
"195","Bacillus thuringiensis subspecies kurstaki Stamm ABTS-351 (Stamm HD-1) 16.700IU/mg","Bacillus thuringiensis subsp. kurstaki strain ABTS 351"
"196","Metobromuron","Metobromuron"
"197","Phosphan (Phosphorwasserstoff)","Phosphane"
"198","Bacillus subtilis Stamm IAB/BS03 100.000.000.000cfu/l","Bacillus subtilis Stamm IAB/BS03 100.000.000.000cfu/l"
"199","COS-OGA","COS-OGA"
"200","Amisulbrom","Amisulbrom"
"201","Flutianil","Flutianil"
"202","Aminopyralid","Aminopyralid"
"203","Bacillus thuringiensis subsp. israelensis (Serotyp H-14) AM65-52 5.600.000.000.000cfu/l","Bacillus thuringiensis subsp. israelensis strain AM65-52"
"204","Pythium oligandrum M1 1.000.000.000Sporen je kg","Pythium oligandrum M1 1.000.000.000Sporen je kg"
"205","Pyriproxyfen","Pyriproxyfen"
"206","Hexythiazox","Hexythiazox"
"207","Proquinazid","Proquinazid"
"208","Bacillus amyloliquefaciens Stamm MBI 600 22.000.000.000.000cfu/l","Bacillus amyloliquefaciens MBI600"
"209","Mandestrobin","Mandestrobin"
"210","pro Dispenser (Z)-8-Dodecen-1-ylacetat","pro Dispenser (Z)-8-Dodecen-1-ylacetat"
"211","pro Dispenser (E)-8-Dodecen-1-ylacetat","pro Dispenser (E)-8-Dodecen-1-ylacetat"
"212","pro Dispenser (Z)-8-Dodecen-1-ol","pro Dispenser (Z)-8-Dodecen-1-ol"
"213","(E,Z,Z)-3,8,11-Tetradecatrien-1-ylacetat+(E,Z)-3,8-Tetradecadien-1-ylacetat","(E,Z,Z)-3,8,11-Tetradecatrien-1-ylacetat+(E,Z)-3,8-Tetradecadien-1-ylacetat"
"214","(E,Z)-3,8-Tetradecadien-1-yl acetat","(E,Z)-3,8-Tetradecadien-1-yl acetat"
"215","(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetat","(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetat"
"216","Fenpicoxamid","Fenpicoxamid"
"217","Acequinocyl","Acequinocyl"
"218","Isofetamid","Isofetamid"
"219","Fenpyroximat","Fenpyroximate"
"220","Milbemectin","Milbemectin"
"221","Metarhizium brunneum Stamm Ma 43 (vormals M. anisopliae F52) 900.000.000.000cfu/kg","Metarhizium brunneum Stamm Ma 43 (vormals M. anisopliae F52) 900.000.000.000cfu/kg"
"222","Metarhizium brunneum Stamm Ma 43 (vormals M. anisopliae F52) 2.000.000.000.000cfu/l","Metarhizium brunneum Stamm Ma 43 (vormals M. anisopliae F52) 2.000.000.000.000cfu/l"
"223","Coniothyrium minitans Stamm CON/M/91-08 1.000.000.000.000cfu/kg","Coniothyrium minitans Stamm CON/M/91-08 1.000.000.000.000cfu/kg"
"224","Clonostachys rosea Stamm J1446 (vormals Gliocladium catenulatum) 1.000.000.000.000cfu/kg","Clonostachys rosea strain J1446"
"225","Silthiofam","Silthiofam"
"226","Bacillus thuringiensis subspecies kurstaki Stamm EG-2348 32.000IU/mg","Bacillus thuringiensis subsp. kurstaki strain EG2348"
"227","Flupyradifurone","Flupyradifurone"
"228","Oxathiapiprolin","Oxathiapiprolin"
