substance,crop,CAS,CLP,BCF,SCI.Grow,SoilDT50,Birds.Acute.LD50.mg.kg,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Earthworms.Acute.14d.LC50.mg.kg,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,BeesLD50,Fish.Acute.96hr.LC50.mg.l,Fish.Chronic.21d.NOEC.mg.l.corrected,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Aquatic.Plants.Acute.7d.EC50.mg.l,Algae.Acute.72hr.EC50.Growth.mg.l,water.phase.DT50.days
Formetanate,"Tomatoes; Ornamentals; Fruit including apples, pears peaches, nectarines, citrus; Alfalfa",22259-30-9,"Health: H300, H317, H330Environment: H400, H410",1,1.32 X 10 e-02,9.4,11.5,21,1048,1.8,1.02,4.3,0.48,0.0017,0.0011,-,1.2,0.3
Fosetyl,"Fruit including grapes, apples, pears raspberry, blackberry, strawberry; Ginseng; Lettuce; Onion; Broccoli; Tobacco; Turf; Ornamentals",15845-66-6,Health: H318,Low risk,Cannot be calculated,0.1,> 8000,> 2000,> 1000,-,> 100,> 122,-,-,-,-,> 5.9,-
Fosthiazate,Potatoes; Tomatoes; Vegetables,98886-44-3,"Health: H301, H311, H319, H317, H331, H362, H361d, H361f, H370, H373Environment: H400, H410",3.2,4.89 X 10 e-02,26.8,10,57,209,25,0.256,114,2.4,0.282,0.06,-,> 4.51,15
Glyphosate,"Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns",1071-83-6,Handling: GHS05Health: H318Environment: H411,0.5,5.56 X 10 e-03,17.3,> 2000,> 2000,> 5600,> 21.31,> 100,> 100,32,> 100,12.5,12,19.0,9.9
Halauxifen-methyl,Wheat; Barley,943831-98-9,"Environment: H400, H410, H411",217,4.71 X 10 e-02,1.3,> 2250,> 5000,> 500,5.0,> 98.1,1.33,0.0115,2.21,0.144,2.13,> 0.855,1.8
Hexythiazox,"Fruit including apples, pears, stone fruit, citrus, grapes; Nuts; Turf; Cotton; Cucumber",78587-05-0,"Environment: H400, H410",1100,5.32 X 10 e-03,30,> 2000,> 5000,> 52.5,-,> 200,3.2,0.04,> 0.36,0.0061,-,> 0.4,11.5
Hymexazol,Rice; Sugarbeet; Fodder beet; Vegetables; Tomatoes; Ornamentals,10004-44-1,"Health: H302, H318Environment: H412",0.49,1.13 X 10 e-02,30,> 1085,1600,281.9,-,> 100,> 100,> 100,28,0.8,8.8,36,5.8
Imazalil,"Fruit including citrus, apples, pears bananas; Cucumbers; Roses; Barley; Wheat",35554-44-0,"Health: H301, H318, H332. H351Environment: H410",56.3,5.47 X 10 e-03,76.3,510,227,271,-,39,1.48,0.043,3.5,-,-,0.87,7.8
Imazamox,Aquatic situations; Edible legumes; Soybeans; Alfalfa; Sunflowers; Winter OSR,114311-32-9,"Environment: H400, H410",0.1,3.32 X 10 e-01,200.2,> 1846,> 5000,> 901,5.85,> 58,> 122,> 1.22,> 100,137,0.011,> 29.1,132
Iodosulfuron,Cereals including corn; Turf; Soybean,185119-76-0,"Environment: H400, H410",-,5.12 X 10 e-03,6,> 2000,> 2500,> 1000,-,> 150,> 100,-,> 100,-,-,-,-
Iprovalicarb,Ornamentals; Potatoes; Grapes; Tomatoes,140923-17-7,Health: H351,10,8.45 X 10 e-02,15.5,> 2000,> 5000,> 1000,3.37,> 200,> 22.7,9.89,> 19.8,1.89,-,> 10,54
Isofetamid,"Grapes; Salad crops including head and leaf lettuce, cucumber; Rapeseed; Almonds; Kidney beans; Low growing berry crops; Turf",875915-78-9,Health: H361d,-,7.23 X 10 e-02,37.1,> 2000,> 2000,> 500,10.37,> 100,2.27,0.18,4.7,0.18,-,> 4.3,-
Isoxaben,Tree-nut plantations; Orchards; Vinyards; Ornamental trees and shrubs; Winter cereals,82558-50-7,Environment: H413,70.5,3.43 X 10 e-01,105,> 2000,> 10000,> 500,3.34,> 100,> 1.1,0.87,> 1.3,0.69,0.011,> 1.4,8.8
Isoxadifen,N/A,209866-92-2,-,-,Cannot be calculated,-,-,-,-,-,-,-,-,-,-,-,-,-
Isoxaflutole,Maize; Sugar cane,141112-29-0,"Health: H361dEnvironment: H400, H410",11,8.47 X 10 e-04,0.9,> 2150,> 5000,> 500,8.9,> 100,> 1.7,0.08,> 1.5,0.35,0.016,0.12,0.36
Kresoxim-methyl,"Sugarbeet; Fruit including apples, grapes, pears; Curcubit vegetables; Pecans",143390-89-0,"Health: H351Environment: H400, H410",220,3.35 X 10 e-04,16,> 2150,> 5000,> 469,-,> 100,0.19,0.013,0.186,0.032,0.301,0.063,0.85
Lambda-cyhalothrin,Cotton; Cereals; Potatoes; Hops; Vegetables,91465-08-6,"Health: H301, H312, H330Environment: H400, H410",4982,5.35 X 10 e-03,175,> 3950,56,> 500,3.125,0.038,0.00021,0.000031,0.00023,0.0000022,-,> 0.005,0.24
Lenacil,Sugarbeet; Red beet; Fodder beet; Mangels; Sugarcane; Ornamentals; Currants; Gooseberries; Spinach; Turnips,2164-08-1,"Health: H351Environment: H400, H410",18,2.94 X 10 e-01,49.7,> 2000,> 5000,> 1000,1000,> 227.2,> 2.0,2.3,> 8.4,0.48,0.019,0.0077,91
Magnesium phosphide,Animal feeds; Tobacco; Processed food commodities; Indoor areas and uncropped land; Bulked grain,12057-74-8,"Health: H300, H311Handling: H260Environment: H400",-,Cannot be calculated,0.24,49,10.4,> 663.5,-,-,0.0093,-,-,-,-,-,-
Maleic hydrazide,"Lawns; Amenity turf; Non-cropped areas; Fruit including citrus; Potatoes; Carrots; Onions, shallots & garlic; Tobacco; Ornamental shrubs",123-33-1,"Health: H315, H319, H341, H335",Low risk,2.69 X 10 e-03,0.8,4640,> 2000,> 1000,151.5,> 100,> 1000,9.6,107.7,0.95,> 110,> 100,106
Mandestrobin,Cereals; Oilseed rape; Fruit; Nuts; Beans,173662-97-0,"Environment: H400, H410",-,3.19 X 10 e-03,140,> 2225,> 2000,84,3.75,> 100,0.94,-,1.2,-,> 2.3,> 11.2,-
Mandipropamid,Grapes; Potatoes; Tomatoes; Curcubits,374726-62-2,"Environment: H400, H411",48,2.09 X 10 e-02,49.1,> 1000,> 5000,> 500,> 16.0,> 200,> 2.9,0.5,7.1,0.87,> 4.4,> 19.8,Stable
MCPA,Wheat; Oats; Tritical; Rye; Establish grass; Lindseed; Asparagus; Citrus,94-74-6,"Health: H302, H318Environment: H400, H411",1,2.86 X 10 e-01,12.07,377,962,325,-,> 200,> 100,15,> 190,56.0,> 3.2,79.8,13.5
Mecoprop-P,"Lawns; Sports fields; Golf courses; Fairways; Cereals including wheat, barley, oats, triticale",16484-77-8,"Health: H361, H302, H318Environment: H411",3,2.07 X 10 e-01,5.24,> 500,431,> 988,10.8,> 83.0,> 93,> 50,> 91,22.7,1.6,16.2,92
Mefenpyr,N/A,135591-00-3,Environment: H411,-,Cannot be calculated,-,-,> 5000,-,-,-,-,-,-,-,-,-,-
Mefentrifluconazole,Cereals,1417782-03-6,"Health: H317Environment: H400, H410",-,2.26 X 10 e-02,268,816,> 2000,> 500,2.65,> 100,0.532,-,0.944,0.016,2.02,1.352,7.2
Mepiquat,"Cereals including wheat, oats, barley, rye, triticale; Grass; Onions; Leeks; Garlic",15302-91-7,Health: H302Environment: H412,2.0,Cannot be calculated,-,> 2000,1490,> 3195,31.25,> 100,> 100,100,68.5,12.5,15.4,> 44.8,-
Mesosulfuron,"Cereals including spring wheat, winter wheat, durum wheat",400852-66-6,"Environment: H400, H410",-,5.19 X 10 e-01,56.1,> 2000,> 5000,> 1000,125.0,> 13,> 100,95.0,> 100,-,-,-,-
Mesotrione,"Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb",104206-82-8,"Environment: H400, H410",Low risk,4.13 X 10 e-03,19.6,> 3776,> 5000,> 2000,10.85,> 100,> 120,12.5,> 622,180,0.022,3.5,5.3
Metalaxyl,"Many agricultural crops including tobacco, potaoes, soybean, onions, citrus, cucubits, tomatoes, cotton; Ornamentals; Turf",57837-19-1,Health: H302; H317Environment: H412,7,5.61 X 10 e-02,36,1466,> 669,> 1000,40,200,0.96,-,3.47,> 1.0,85,0.42,56
Metalaxyl-M,"Potatoes; Tomatoes; Hops; Lettuce; Vegetables; Tobacco; Sunflower, Spinach; Grapes; Sugar beet; Fodder beet; Vining peas; Peaches",70630-17-0,"Health: H302, H318",15,1.07 X 10 e-01,6.64,981,375,830,35.63,> 100,> 100,9.1,> 100,1.2,69.5,36,24.8
Metaldehyde,"Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes",108-62-3,Health: H302Handling: H228,11,4.24 X 10 e-03,5.1,196,283,> 1000,32,> 113,75,37.5,> 78.4,90,-,75.9,11.5
Metamitron,Sugarbeet; Fodder beet; Mangels; Red beet; Pome fruit,41394-05-2,Health: H302Environment: H400,75,4.86 X 10 e-02,30,1302,1183,914,28.0,> 100,>= 190,7.0,5.7,10,0.4,0.4,10.5
Metazachlor,Winter and spring OSR; Brussel spouts; Maize; Peanuts; Sugarcane; Cotton; Tobacco; White cedar; Rhododendron; Pivet; Lilac Alder; Grey willow; Spruce,67129-08-2,"Health: H317, H351Environment: H400, H410",Low risk,1.08 X 10 e-02,8.6,> 2000,3480,500,> 2.31,> 100,8.5,2.15,33,0.1,0.0023,0.0162,216
Metconazole,"Cereals including wheat, barley, rye, oats; OSR; Fruit including blueberry, cherry, gooseberry, nectarine, peach, plum; Pistachio; Turf and sod",125116-23-6,"Health: H302, H361dEnvironment: H411",105.1,8.60 X 10 e-02,142.2,787,595,> 500,> 20,> 100,2.1,1.14,4.2,0.16,0.527,1.7,8
Metobromuron,Sunflowers; Potatoes; Tomatoes; Soybeans; Tobacco,3060-89-7,"Health: H302, H332, H317, H373Environment: H410",Low risk,1.14 X 10 e-01,34.3,1429,> 10000,233,-,> 200,43.0,0.25,44.1,>= 10,0.31,0.63,16.2
Metrafenone,Wheat; Barley; Oats; Rye; Triticale; Grapes,220899-03-6,"Environment: H400, H410",530,1.79 X 10 e-02,200.9,> 2025,> 5000,> 500,50.89,> 100,> 0.82,0.228,> 0.92,0.225,0.327,0.71,3.9
Metsulfuron,Cereals; Land removed from production,79510-48-8,"Environment: H400, H410",Low risk,Cannot be calculated,-,> 5000,> 5000,> 1000,-,> 25,> 150,-,150,-,-,-,-
Napropamide,"Vegetables, Fruit tree and bushes; Vines; Tobacco; Olives; Sunflowers; Turf; Oilseed rape; Ornamentals",15299-99-7,-,96,1.20 X 10 e-01,166,> 2250,> 5000,282.0,16.3,> 100,13.0,1.1,14.3,22.4,0.16,4.15,12.2
Nicosulfuron,Maize,111991-09-4,"Environment: H400, H410",Low risk,1.38 X 10 e-01,29.5,> 2000,> 5000,> 1000,100,> 50,65.7,10.0,90.0,5.2,0.002,71.2,83.8
Oxathiapiprolin,"Fruiting vegetables including tomatoes, aubergines, peppers, and curcubits; Lettuce; Grapes; Melons; Potatoes; Herbs",1003318-67-9,"Environment: H400, H410",62,8.64 X 10 e-03,121.2,> 2250,> 5000,> 1000,=> 1000,> 100,> 0.69,> 0.46,> 0.67,=> 0.75,> 0.79,> 0.351,9.5
Paclobutrazol,Mango; Cotton; Corn; Chilli; Bonzi production; Grape vines,76738-62-0,"Health: H302, H312, H319, H332, H361Environment: H400, H410Handling: H228",44,1.33 X 10 e-01,112,> 2100,1336,> 500,0.845,> 40,23.6,3.3,33.2,0.32,0.0082,7.2,164
Penconazole,"Vines; Fruit including apples, pears, peaches, plums, apricots, strawberries; Ornamentals; Hops; Vegetables; Cucumbers; Tomatoes",66246-88-6,"Health: H302, H361dEnvironment: H400, H410",320,3.02 X 10 e-02,117,> 1590,> 2000,> 331.5,-,> 3.0,1.13,0.36,6.75,0.06,0.19,4.9,2
Pendimethalin,"Wheat & other small grain cereals; Corn; Soybeans; Maize; Fruit; Vegetables including beans & peas, carrots; Turf & lawns; Potatoes; Vineyards; Peanuts",40487-42-1,"Health: H317Environment: H400, H410",5100,5.35 X 10 e-03,182.3,1421,4665,> 1000,33.45,100,0.196,0.006,0.147,0.0145,0.022,0.004,4
Penoxsulam,Lawns; Rice; Cereals; Orchards; Olives; Chicory,219714-96-2,"Environment: H400, H410",-,1.01 X 10 e-02,21.9,> 2000,> 5000,> 1000,> 115.5,> 100,> 100,10.2,> 100,2.95,0.002,> 0.233,27.2
Penthiopyrad,Cereals including wheat; Potatoes; Sugarbeet; Turf; Legumes; Vegetables; Soybeans,183675-82-3,"Environment: H400, H410",186,1.36 X 10 e-02,121.5,> 2250,> 2000,> 500,> 48,> 500,0.29,0.051,> 1.38,0.47,1.21,> 1.58,9.9
Pethoxamid,Corn; Winter OSR; Soybeans; Peas and beans; Tobacco,106700-29-2,"Health: H302, H317Environment: H400, H410",Low risk,5.21 X 10 e-02,6.3,1578,983,316,0.8,> 200,2.2,1.1,23,2.8,0.0247,> 149,8.0
Phenmedipham,Sugar beet; Fodder beet; Red beet; Mangels; Spinach; Swiss chard; Strawberries,13684-63-4,"Environment: H400, H410",165,2.10 X 10 e-02,12,> 2500,> 5000,36,>= 10,> 100,1.84,0.041,2.033,0.061,> 0.157,0.086,0.2
Phosphane,Stored grain; Stored animal feed; Leaf-stored tobacco; Cotton seed; Coffee; Cacoa; Tree nuts; Oilseeds,7803-51-2,"Health: H330, H314Handling; H280, H220",1.16,Cannot be calculated,0.2,-,< 40,-,-,-,0.007,-,0.2,-,-,-,-
Picloram,OSR; Non-cropped areas; Rangeland,1918-02-1,"Health: H302, H312, H319, H332, H335Environment: H400, H410, H412",74,1.07 X 10 e00,23.0,> 1944,4012,> 4475,0.167,> 83.5,8.8,0.55,44.2,6.79,102,> 78.69,80.8
Picolinafen,Winter wheat; Winter barley; Winter rye; Triticale,137641-05-5,"Environment: H400, H410",617,5.35 X 10 e-03,6.1,> 2250,> 5000,> 500,1.675,> 200,> 0.68,0.0064,> 0.45,0.007,0.057,0.00018,1.3
Pinoxaden,"Cereals including winter & spring barley, winter wheat, durum wheat, Rye, Triticale",243973-20-8,"Health: H315, H317, H319, H332, H335, H361dEnvironment: H400, H412",Low risk,1.43 X 10 e-04,0.5,> 2250,> 5000,> 500,-,> 100,10.3,3.2,52.0,-,3.5,0.91,0.27
Piperonyl butoxide,N/A,51-03-6,"Health: H330, H361Environment: H400, H410",260,5.35 X 10 e-03,13,> 2250,> 7220,-,-,294,5.3,-,0.51,0.12,-,0.24,-
Pirimicarb,"Wheat; Fruit including strawberries, apples, citrus; Vegetables; Potatoes; Beet crops; Cotton; OSR; Tobacco; Grasshouse crops; Ornamentals",23103-98-2,"Health: H301, H317, H331,H351, H370, H373Environment: H400, H410",24,2.28 X 10 e-02,73.6,20.9,142,653,5.46,17.8,79,< 18,0.017,0.0009,-,140,22.0
Potassium bicarbonate,"Fruit including grapes, strawberries; apples; Vegetables; Aubergine; Tomatoes; Hemp",298-14-6,"Health: H319, H335",20,7.34 X 10 e-04,0.1,> 1000,> 2064,> 1000,-,> 368,> 1200,-,> 860,-,-,> 87.5,-
Potassium phosphonates,"Fruit including avocados, apples, grapes; Ornamentals; Trees; Salad leaves and lettuce; Garlic and shallots; Sprouts and shoots",13977-65-6,"Health: H302, H315, H320, H335",20,2.85 X 10 e-01,142,> 2250,> 5000,> 1000,182.5,-,> 118,100,> 118,-,-,-,-
Prohexadione,"Cereals including barley, oats and wheat; Turf; Apples; Pears; Peanuts",88805-35-0,Health: H317,Low risk,3.21 X 10 e-02,0.7,> 2000,> 5000,> 1000,-,> 100,> 100,100,> 100,100,> 1.2,> 100,1.8
Propamocarb,Turf; Ornamentals; Tobacco; Vegetables; Potatoes; Strawberries; Cucumbers; Tomato; Lettuce,24579-73-5,Health: H302,Low risk,Cannot be calculated,14,-,> 2000,-,-,> 100,96.8,-,106,-,-,301,-
Propaquizafop,Sugarbeet; Oilsed rape; Soybean; Sunflower; Vegetables; Fruit; Potatoes,111479-05-1,"Health: H317, H332Environment: H410, H410Limited and weak evidence of carcinogenicity",583,2.05 X 10 e-01,2.1,> 2000,> 5000,> 500,1.95,> 200,0.19,0.019,> 0.9,0.44,> 1.4,> 2.1,<1
Propoxycarbazone,"Winter, Spring & Durham wheat",145026-81-9,"Environment: H400, H410",-,1.07 X 10 e00,39.6,> 200,> 2000,> 1000,1.25,> 200,> 77.2,-,0.0064,-,-,-,-
Propyzamide,"Alfalfa; OSR; Beans; Root crops; Fruit including apples, blackberry, boysenberry, blueberry, cherry, peach, pear, plum, prunes, grapes and others; Artichoke; Clover; Endive and various head lettuce; Ornamentals; Non-cropped and utility sites",23950-58-5,"Health: H351Environment: H400, H410",49,3.21 X 10 e-02,50.5,6578,> 5000,> 173,3.3,> 136,> 4.7,0.94,> 5.6,0.6,1.4,2.8,21
Proquinazid,"Cereals including wheat, barley, oats, rye, triticale; Grapes",189278-12-4,"Health: H351Environment: H400, H410",813,5.35 X 10 e-03,74.0,> 2250,> 4846,> 1000,25.45,> 197,0.349,0.003,0.287,0.0018,> 0.2,0.684,0.78
Prosulfocarb,Cereals including winter wheat and winter barley; Potatoes,52888-80-9,"Health: H302, H317Environment: H411",700,1.07 X 10 e-02,11.9,> 2250,1820,71.8,-,> 80,0.84,0.31,0.51,0.045,0.69,0.049,0.94
Prosulfuron,Sorghum; Millet; Winter wheat; Forage and grain maize; Soybean,94125-34-5,"Health: H302Environment: H400, H410",0.13,1.26 X 10 e-01,62.1,> 1300,546,> 1000,0.73,> 100,> 100,5.8,> 120,148,0.00126,0.0089,103
Prothioconazole,"Cereals including barley, rye, wheat, oats",178928-70-6,"Environment: H400, H410, H411",43.9,7.17 X 10 e-05,14.1,> 2000,> 6200,> 1000,5.3,> 100,1.83,0.308,1.3,0.56,> 0.18,2.18,0.37
Pyraclostrobin,"Cereals including wheat, barley, oats; forage & grain maize, triticale; Sugarbeet; Potatoes; Vegetables including brassicas, carrot; beans, vining peas; Fruit including strawberry, blackcurrants",175013-18-0,"Health: H302, H361d, H373, H335, H331Environment: H400, H410",712,5.70 X 10 e-03,2.2,> 2000,> 5000,567,11.6,> 100,0.0062,0.0045,0.016,0.004,1.077,> 0.843,3.6
Pyraflufen-ethyl,Potatoes; Vines; Non-cropped areas; Turf,129630-19-9,"Environment: H400, H410",-,2.02 X 10 e-04,0.32,> 2000,> 5000,> 500,>= 250,> 100,> 0.100,0.0034,> 0.100,100,0.0026,0.00023,0.1
Pyridate,"Cereals; Brassicas including cauliflowers, kohlrabi, broccoli, Brussels; Alliums including onions, shallots, chives, leek; Fodder beet; Lupins; Rape",55512-33-9,"Health: H315, H317Environment: H400, H410",116,5.35 X 10 e-03,0.8,1269,> 2000,125.0,-,> 100,> 1.01,0.08,0.49,0.01,> 2.0,> 0.75,0.3
Pyrimethanil,"Almonds; Pistachios; Fruit including grapes, stone fruits (except cherries), pome fruits, strawberries; Potatoes and other tuberous and corm vegetables; Tomatoes; Ornamentals; Lettuce",53112-28-0,Environment: H411,Low risk,9.13 X 10 e-02,50.9,> 2000,4150,313,4.12,> 100,2.8,0.077,2.9,0.94,> 30,5.52,8.4
Pyriofenone,Wheat; Barley; Grape vines; Curcubits,688046-61-9,Health: H351Environment: H411,160,1.94 X 10 e-02,72.6,> 2000,> 2000,> 1000,32.0,> 100,> 1.44,1.27,> 1.55,0.0899,-,1.77,-
Pyriproxyfen,Waste dumps; Residences and public places; Some ornamentals,95737-68-1,"Environment: H400, H410",1379,5.35 X 10 e-03,10,> 1906,> 5000,> 500,-,74,> 0.27,0.0043,0.4,0.000015,> 0.18,0.15,1.6
Pyroxsulam,"Cereals including wheat, barley, rye, triticale",422556-08-9,"Health: H317Environment: H400, H410",Low risk,1.19 X 10 e-01,3.3,> 2000,> 2000,> 78.0,1.07,> 100,> 87.0,> 10.1,> 100,> 10.4,0.0026,0.924,-
Quartz sand,Forestry,14808-60-7,"Health: H372, H373, H350",-,Cannot be calculated,730,-,500,-,-,-,> 100,-,> 500,-,-,> 440,Stable
Quinmerac,Cereals; Rape; Beet,90717-03-6,Environment: H412,Low risk,3.61 X 10 e-02,30,> 2000,> 5000,> 1000,0.775,> 100,86.8,3.16,> 100,> 100,96,48.5,88.7
Quizalofop-P-ethyl,Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers,100646-51-3,"Health: H302, H312Environment: H400, H410, H413",380,4.67 X 10 e-04,2,> 2000,1182,> 500,250,> 100,0.21,0.044,0.29,0.023,0.098,0.021,1.55
Rimsulfuron,"Maize; Potato; Tomato; Fruit including citrus, apples, pears, cherries, peaches, apricot, grapes; tree nuts; Pistachios",122931-48-0,"Health: H314, H319Environment: H400, H410",Low risk,5.93 X 10 e-02,24.3,> 2250,> 5000,> 1000,-,> 100,> 390,125,> 360,1,0.009,1.2,4
Sedaxane,Cereals; Soybeans; OSR; Potatoes; Rice; Sugarbeet; Sunflowers; Cotton; Pulses,874967-67-6,"Environment: H400, H410",-,1.74 X 10 e-01,108,> 1068,> 2000,> 500,1.4,> 100,1.10,0.165,6.10,0.75,-,1.90,17.3
Silthiofam,"Cereals including winter wheat, barley, triticale",175217-20-6,Environment: H412,98,2.78 X 10 e-01,42.3,> 2250,> 5000,133,0.27,> 100,11,0.89,14,0.47,-,8.6,5
Sintofen,Wheat,130561-48-7,Health: H351Environment: H411,Low risk,2.87 X 10 e-02,230,> 1439,> 5000,20,20,> 100,570,100,238,7.03,4.6,36.9,8.23
Sodium 5-nitroguaiacolate,Sugarbeet; Oilseed rape; Tomatoes; Cotton; Curcubits; Peppers; Potatoes; Strawberry,67233-85-6,"Health: H302, H318, H319Handling: H242Environment: H411",Low risk,4.02 X 10 e-05,0.35,2067,716,> 11.8,-,> 100,37.4,10.9,71.1,-,-,6.2,2.9
Sodium o-nitrophenolate,Oilseed rape; Tomato; Sugarbeet,824-39-5,"Handling: H242Health: H302, H319Environment: H400, H410, H411",Low risk,4.00 X 10 e-04,1.5,1046,960.1,> 23.6,-,> 100,69,26,> 68.8,-,-,4.8,1.9
Sodium p-nitrophenolate,Oilseed rape; Tomato; Sugarbeet,824-78-2,"Handling: H228Health: H302, H312, H315, H319, H332, H335Environment: H411",Low risk,4.43 X 10 e-04,1.23,> 1670,345.5,> 43.4,-,111,25.0,12.5,27.7,-,-,2.5,2.7
Spiroxamine,"Grapes; Cereals including wheat, triticale; barley, oats, rye",118134-30-8,"Health: H302, H312, H315, H317, H332, H373, H261dEnvironment: H400, H410",79,5.35 X 10 e-03,25,565,460,> 500,5.0,4.2,7.13,0.014,6.1,0.1,2.76,0.003,0.8
Sulcotrione,Maize; Sweetcorn; Sorghum; Sunflowers; Soybean; Cotton; Wheat; Broccoli; Carrots; Curcubits; Tobacco,99105-77-8,"Health: H317, H361d, H373Environment: H400, H410",Low risk,3.10 X 10 e-03,25,> 1350,> 5000,> 1000,-,200,227,3.2,> 848,> 75,0.051,1.2,9.5
Sulfoxaflor,"Tomatoes; Peppers; Aubergines; Cucumbers; Melons; Courgettes; Cereals including wheat, rye, barley, oats, triticale; Cotton",946578-00-3,"Health: H302Environment: H400, H410",Low risk,3.06 X 10 e-03,2.2,676,1000,0.855,0.10,0.379,> 101,-,> 399,50,-,> 101,-
Sulfuryl fluoride,Empy grain storage areas; Structures; Wood products,2699-79-8,"Health, H331, H373Environment: H400",Low risk,Cannot be calculated,-,-,100,-,-,6.5,-,-,0.62,-,-,0.58,-
Tau-fluvalinate,"Potatoes; Cereals including wheat; Turf; Cotton; Fruit trees including cherries, peaches, plums, nectarines, Tamarillos, avocados; Beehives",102851-06-9,"Health: H302, H315Environment: H400, H410",1979,5.35 X 10 e-03,4,> 2510,546,> 500,1.44,12,0.000794,0.000064,0.0089,0.000021,-,> 42.0,1
Tebuconazole,"Cereals including wheat, barley, oat, rye; Grapes; Peanuts; Vegetables including onions, peas, pepper; Bananas; Sugarcane",107534-96-3,"Health: H302, H361dEnvironment: H411",78,6.46 X 10 e-02,63,1988,1700,1381,10,> 200,4.4,0.010,2.79,0.01,0.144,1.96,42.6
Tebufenozide,"Fruit including grapes, apples, pears, berries; Brassicas, leafy vegetables, turnips, and fruiting vegetables",112410-23-8,Environment: H411,70,4.78 X 10 e-02,400,> 2150,> 5000,> 1000,> 1000,> 234,3.0,0.71,3.8,0.029,> 0.94,0.23,12.6
Tefluthrin,Sugarbeet; Fodder beet; Cotton; Field corn; Popcorn,79538-32-2,"Health: H300, H310, H330Environment: H400, H410",1400,5.35 X 10 e-03,37,> 267,21.8,1.0,0.16,0.28,0.00006,0.000004,0.00007,0.000008,-,> 1.05,7
Tembotrione,Maize; Sweetcorn,335104-84-2,"Health: H317, H373, H361dEnvironment: H400, H410",Low risk,2.10 X 10 e-03,14.5,> 2250,> 2500,> 1000,1.25,> 100,> 100,0.604,-,5.0,0.006,0.38,Stable
Terbuthylazine,"Maize; Sorghum; Apples; Citrus; Bush vines; Non-crop sites including roads, railways, industrial sites",5915-41-3,"Health: H373, H302Environment: H400, H410",34,8.43 X 10 e-02,72.0,> 1236,> 1000,> 141.7,-,> 32,2.2,0.09,21.2,0.019,0.0128,0.012,6
Tetraconazole,Sugarbeet; Wheat; Grapes; Apple; Tomato,112281-77-3,"Health: H302, H332Environment: H411",35.7,1.63 X 10 e-01,61,132,1031,71,8.2,63,4.3,0.3,3.0,0.19,0.52,2.4,2
Thiencarbazone,Corn; Sweetcorn; Soybean; Beet; Wheat (Spring & Durum); Turf; Ornamentals,936331-72-5,-,-,5.27 X 10 e-01,11.6,> 2000,> 2000,> 1000,-,> 200,> 104,-,> 98.6,-,-,0.17,-
Thifensulfuron,"Cereals including wheat, barley, tritical, rye, oats; Corn/maize; Soybean",79277-67-1,"Environment: H400, H410",-,7.97 X 10 e-01,32.3,> 2510,> 2000,> 2000,-,> 100,> 120,-,> 130,-,36.8,33.4,-
Tribenuron,"Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown",106040-48-6,"Health: H317Environment: H400, H410",-,1.27 X 10 e-01,14,> 2250,> 5000,> 1000,-,> 9.1,560,-,894,-,-,-,-
Triclopyr,Uncultivated areas; Grassland; Plantations; Rangeland; Right-of-way; Industrial sites; Ornamental turf; Rice,55335-06-3,"Health: H302, H319, H317, H373Environment: H410",0.77,3.86 X 10 e-01,18.81,1698,630,> 521,6.0,> 100,117,46.3,132.9,48.5,0.8,181.1,24.8
Trifloxystrobin,"Cereals; Ornamentals; Vegetables including carrots, asparagus, curcubits, fruiting vegetables, root vegetables (except radish); Fruit including apples, pears, grapes, strawberries; Tropical crops",141517-21-7,"Health: H317Environment: H400, H410",431,3.82 X 10 e-04,0.34,> 2000,> 2000,> 500,3.5,> 200,0.022,0.008,0.011,0.003,1.93,0.0053,1.1
Trinexapac-ethyl,"Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass",95266-40-3,"Environment: H410, H411, H412",6,4.32 X 10 e-02,0.16,> 2000,4210,> 93,-,> 200,35,0.41,> 142.5,2.4,8.8,24.5,4.2
Triticonazole,"Cereals including wheat, barley, oats, rye, triticale; Turf; Ornamentals",131983-72-7,Environment: H411,94,2.19 X 10 e-01,237,> 2000,> 2000,> 500,> 125,> 100,> 3.6,0.01,9.0,0.092,1.1,> 1.0,Stable
Valifenalate,Grapes; Tomatoes; Potatoes; Tobacco; Some vegetables; Lettuce,283159-90-0,Health: H351Environment: H411,<4,8.04 X 10 e-06,0.15,> 2250,> 5000,> 1000,-,> 100,> 100,100,> 100,3.2,-,> 100,1000
