"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"00A693-00","SUPRAX","Difenoconazol","Fungizid","Vegetables including carrots, asparagus, brassicas; Potatoes; Cereals including barley, oats, rye, wheat, triticale; Sweetcorn; Beets; Cotton; Canola; Tomato; Pome fruits","H335,H351,H361d",300,1,150,0.5,0.355467370547561,0.283323555151837,1.1387909256994
"00A774-00","Surrender","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats","H317,H318",300,1,90,0.3,0.0218118774273004,0.185303571412253,0.507115448839553
"026336-61","Suvisio 200SC","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"00B037-00","SWIM","Mepiquat","Wachstumsregler","Cereals including wheat, oats, barley, rye, triticale; Grass; Onions; Leeks; Garlic","H302,H314",300,1,110,0.366666666666667,0.0170252866411349,0.000228186274509804,0.383920139582311
"034419-00","SWITCH","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats","H317",300,1,20,0.0666666666666667,0.0545296935682509,0.463258928530632,0.584455288765549
"00A800-00","Sword 240 EC","Cloquintocet","Herbizid",NA,"EUH066,H304,H317,H332,H373",300,1,125,0.416666666666667,0,0,0.416666666666667
"005914-00","SYD41110F","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats","H332,H351",300,1,85,0.283333333333333,0.00545296935682509,0.0463258928530632,0.335112195543222
"025427-00","SYLLIT","Dodin","Fungizid","Tree fruit including apple, pear, peach, cherry; Strawberries; Walnuts; Sycamore; Onions; Roses","H302,H315,H318,H331",300,1,160,0.533333333333333,0.259146824386159,0.0203370974762849,0.812817255195777
"025662-60","SYMPARA","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H315,H319,H335,H361d",300,1,105,0.35,0.00994827784244084,0.0151534147595405,0.375101692601981
"008330-60","Synero 30 SL","Aminopyralid","Herbizid","Rangeland; Permanent grass; Non-cropped areas including paths; roadways",NA,300,1,0,0,0.0105750183306023,0.0176851092003549,0.0282601275309573
"00A722-00","Systiva","Fluxapyroxad","Fungizid","Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato","EUH066,H362",300,1,60,0.2,0.0321629576526506,0.548559279859779,0.78072223751243
"028865-60","Tabara","Clopyralid","Herbizid","Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations",NA,300,1,0,0,0.0102435881979736,0.0243158768424333,0.0345594650404069
"043185-00","Tachigaren 70 WP","Hymexazol","Fungizid","Rice; Sugarbeet; Fodder beet; Vegetables; Tomatoes; Ornamentals","H317,H318",300,1,90,0.3,0.0718109595565867,0.162973680295807,0.534784639852393
