"Zulassungsnr","product","substance","Wirkungsbereich","crop","health","reference.sum.risk.scores","formula","sum.risk.score","HL","TL","FL","PLI"
"007991-00","0302443","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"008692-00","1,4SIGHT","1,4-Dimethylnaphthalin","Wachstumsregler","Potatoes","H302,H304,H319",300,1,35,0.116666666666667,0.0457720859397183,2.76273529411765,2.92517404672403
"024645-63","3 Stunden Bio-Unkrautfrei","Pelargonsäure","Herbizid","Fruit","H319",300,1,15,0.05,0.0202049764199947,0.0111865025337675,0.0813914789537622
"008468-60","3in1 Komplett-Rasendünger Gegen Unkraut & Moos","Fluroxypyr","Herbizid","Rangeland; Permanent pasture; Non-crop areas; Cereals including wheat, corn; Orchards; Vineyards","H319",300,1,15,0.05,9.40191792372903e-05,7.25191685484335e-05,0.0501665383477857
"007938-00","A14203B","Mesotrione","Herbizid","Maize; Sweetcorn; Flax; Asparagus; Fruit including cranberry, blueberry, rhubarb","H361d,H373",300,1,140,0.466666666666667,0.0476784206681722,0.0729945574215331,0.587339644756372
"00A657-63","Abran","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"026378-00","Accurate","Metsulfuron","Herbizid","Cereals; Land removed from production","H319",300,1,15,0.05,0.0193952052,0,0.0693952052
"006776-00","Accurate Extra","Metsulfuron","Herbizid","Cereals; Land removed from production",NA,300,1,0,0,0.0067873148,0,0.0067873148
"00A289-00","ACELEPRYN","Chlorantraniliprole","Insektizid","Potatoes; Grapes; Cotton; Rice; Vegetables including artichoke, asparagus, bulb vegetables, corn, herbs, legumes, roots and tubers",NA,300,1,0,0,0.277675626767656,1.09437012061889,1.37204574738655
"007667-60","Achiba Max","Quizalofop-P","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H318",300,1,90,0.3,0.0145826412592013,0.0186160781496025,0.333198719408804
"00A060-00","ACL+DFF+FFA SC 570","Aclonifen","Herbizid","Soybeans; Peanuts; Beans and peas: Rice","H317,H351",300,1,90,0.3,0.157528032294118,1.01686554497826,1.47439357727238
"033141-62","Aco.sol PY-Z","Pyrethrine","Insektizid",NA,NA,300,1,0,0,0,0,0
"007712-00","ACOIDAL WG","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses",NA,300,1,0,0,0.246014789108694,0.169493549255076,0.415508338363771
"00A913-00","ActiSeal F 60","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats",NA,300,1,0,0,0.130871264563802,1.11182142847352,1.24269269303732
"006839-00","ACTIVUS SC","Pendimethalin","Herbizid","Wheat & other small grain cereals; Corn; Soybeans; Maize; Fruit; Vegetables including beans & peas, carrots; Turf & lawns; Potatoes; Vineyards; Peanuts","H361d",300,1,70,0.233333333333333,0.113012407079199,1.51889475782856,1.86524049824109
"034046-63","Acucel","Chlormequat","Wachstumsregler","Cereals including wheat, triticale, barley, rye; Ornamentals including geraniums, pelargoniums, poinsetta; vegetables including  tomatoes, cabbage, cauliflower, radish","H302,H312",300,1,25,0.0833333333333333,0.188582476639586,0.250294221985738,0.522210031958657
"006366-61","Acupro","Metsulfuron","Herbizid","Cereals; Land removed from production","H315,H319",300,1,25,0.0833333333333333,0.0058205756,0,0.0891539089333333
"006840-00","ADDITION","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn",NA,300,1,0,0,0.0204356600985742,0.0545669520616275,0.0750026121602017
"026525-00","Adengo","Isoxaflutole","Herbizid","Maize; Sugar cane","H361d",300,1,70,0.233333333333333,0.031261249252133,0.00299267842668146,0.267587261012148
"028533-60","Adentis","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H373",300,1,90,0.3,0.182571196233791,0.239940197403512,0.722511393637303
"00A775-00","ADM.09050.H.1.A","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H315,H317,H319",300,1,45,0.15,0.0176329057843867,0.0129559593934359,0.180588865177823
"00A990-00","AFEPASA GREENHOUSE SULPHUR TABLETS","Schwefel","Fungizid","Fruit including apples, pears, gooseberries, grapes, peaches, strawberries, melons; Cereals; Hops; Beans; Carrots; Lucerne; Tomatoes; Peanuts; Ornamentals including roses","H315",300,1,10,0.0333333333333333,0.305980893953939,0.210807601886001,0.550121829173273
"025691-61","AFINTO","Flonicamid","Insektizid","Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables","H319",300,1,15,0.05,0.0402656218431888,0.00640030527117091,0.0966659271143597
"008595-00","AFRASA TRIPLE WG","Folpet","Fungizid","Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals","H317,H319,H351,H361fd",300,1,175,0.583333333333333,0.235485525846459,0.0234308524167796,0.842249711596572
"00A362-00","Afrodyta 250 SC","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H302,H317,H319,H332",300,1,60,0.2,0.0472886782538121,0.313238903820162,0.560527582073974
"034107-00","AGIL-S","Propaquizafop","Herbizid","Sugarbeet; Oilsed rape; Soybean; Sunflower; Vegetables; Fruit; Potatoes","EUH066,H304,H319,H332",300,1,50,0.166666666666667,0.0103391071481188,0.0676416838698692,0.244647457684655
"00A606-60","AGNI","Clopyralid","Herbizid","Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations","H304,H315,H319,H332",300,1,50,0.166666666666667,0.00819487055837886,0.0194527014739466,0.194314238698992
"00B033-60","AGOLA","Propaquizafop","Herbizid","Sugarbeet; Oilsed rape; Soybean; Sunflower; Vegetables; Fruit; Potatoes","EUH066,H304,H319,H332",300,1,50,0.166666666666667,0.0103391071481188,0.0676416838698692,0.244647457684655
"006840-60","Agolin","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn",NA,300,1,0,0,0.0204356600985742,0.0545669520616275,0.0750026121602017
"027517-62","AGRICON Bio Schneckenkorn","Eisen-III-phosphat","Molluskizid","Food and non-food crops",NA,300,1,0,0,0.00914219344024205,0.000563933200398804,0.00970612664064086
"007797-65","AGRO STAAG","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H317,H318,H335,H373",300,1,170,0.566666666666667,0.0252141486955401,0.0185263558164492,0.610407171178656
"028972-60","Airone SC","Kupferoxychlorid","Fungizid","Ornamentals; Beet crops; Olives; Grapes; Tomatoes",NA,300,1,0,0,0.11440510960091,0.000163477413684641,0.114568587014595
"00A145-61","Akonpli","Bromuconazol","Fungizid","Cereals including barley, wheat; Fruit; Vegetables; Grapevines; Turf; Ornamentals","H302,H304,H317,H318,H361d",300,1,180,0.6,0.0411331725953302,0.483951900028603,1.12508507262393
"033317-00","Aktuan","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines",NA,300,1,0,0,0.018743265060773,0.00179451547587607,0.0205377805366491
"00A959-00","Alakazam 500 WG","Flonicamid","Insektizid","Fruit including apples, pears, peaches, plums, melons, cherries; Cereals including wheat, barley, oats, rye, triticale; Potatoes; Cucumbers; Tomatoes; Aubergine; Various vegetables","H319",300,1,15,0.05,0.0402656218431888,0.00640030527117091,0.0966659271143597
"004329-62","ALCEDO","Tetraconazole","Fungizid","Sugarbeet; Wheat; Grapes; Apple; Tomato","H302,H304,H315,H318,H336",300,1,130,0.433333333333333,0.0546584045666641,0.0747099393082592,0.562701677208257
"008957-00","Alcoban","Dithianon","Fungizid","Apples; Pears; Grapes (table & wine); Blackcurrants","H317,H318,H330,EUH066,H301",300,1,250,0.833333333333333,0.268950180185173,0.0775967834352122,1.17988029695372
"008595-60","ALFIL TRIPLE WG","Folpet","Fungizid","Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals","H317,H319,H351,H361fd",300,1,175,0.583333333333333,0.235485525846459,0.0234308524167796,0.842249711596572
"007839-61","Alginure Ascophos","Kaliumphosphonat (Kaliumphosphit)","Fungizid","Fruit including avocados, apples, grapes; Ornamentals; Trees; Salad leaves and lettuce; Garlic and shallots; Sprouts and shoots",NA,300,1,0,0,0.0116859058274394,0.52499915286222,0.53668505868966
"007839-00","Alginure Bio Schutz","Kaliumphosphonat (Kaliumphosphit)","Fungizid","Fruit including avocados, apples, grapes; Ornamentals; Trees; Salad leaves and lettuce; Garlic and shallots; Sprouts and shoots",NA,300,1,0,0,0.0116859058274394,0.52499915286222,0.53668505868966
"043099-00","Aliette WG","Fosetyl","Fungizid","Fruit including grapes, apples, pears raspberry, blackberry, strawberry; Ginseng; Lettuce; Onion; Broccoli; Tobacco; Turf; Ornamentals","H319",300,1,15,0.05,0.0320700560016671,0.00052683615819209,0.0825968921598592
"053884-00","Aligal 2","Kohlendioxid","Akarizid, Insektizid","Stored cereal grains; Medicinal plants; Dried fruits",NA,300,1,0,0,0,0,0
"043099-65","Alitis Spezial-Pilzfrei","Fosetyl","Fungizid","Fruit including grapes, apples, pears raspberry, blackberry, strawberry; Ginseng; Lettuce; Onion; Broccoli; Tobacco; Turf; Ornamentals","H319",300,1,15,0.05,0.0320700560016671,0.00052683615819209,0.0825968921598592
"060122-70","Allflor Rasendünger mit Unkrautvernichter","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.00163895242183857,0.0104362908829271,0.0120752433047657
"008047-71","Allflor Rasendünger plus Moosvernichter","Eisen-II-sulfat","Herbizid","Sports and amenity turf","H319",300,1,15,0.05,0.00966901076188646,0.00038165011625679,0.0600506608781433
"006366-00","Alliance","Metsulfuron","Herbizid","Cereals; Land removed from production","H315,H319",300,1,25,0.0833333333333333,0.0058205756,0,0.0891539089333333
"00A816-00","Allstar","Fluxapyroxad","Fungizid","Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato","H362",300,1,50,0.166666666666667,0.0289756375249104,0.494197549423224,0.689839853614801
"008996-60","AloEx","Mefenpyr","Herbizid",NA,"H315,H317,H318",300,1,100,0.333333333333333,0.0003464,0,0.333679733333333
"00A282-00","Alonty","Fluxapyroxad","Fungizid","Cereals; Legumes; Oilseeds including OSR, sunflowers; Top and stone fruit; Tuber and root vegetables; Peanuts; Tomato","H302,H315,H317,H319,H332,H335,H362",300,1,130,0.433333333333333,0.00482927292081841,0.0823662582372041,0.520528864491356
"007824-00","Altiplano DAM Tec","Napropamid","Herbizid","Vegetables, Fruit tree and bushes; Vines; Tobacco; Olives; Sunflowers; Turf; Oilseed rape; Ornamentals",NA,300,1,0,0,0.038118695812267,0.575742750361808,0.613861446174075
"00B100-00","ALTIVATE 6 WG","Mefenpyr","Herbizid",NA,NA,300,1,0,0,0.000408,0,0.000408
"006396-60","Amario","Clopyralid","Herbizid","Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations","H317,H319",300,1,35,0.116666666666667,0.00204871763959471,0.00486317536848666,0.123578559674748
"008211-00","AMBARAC","Metconazol","Fungizid","Cereals including wheat, barley, rye, oats; OSR; Fruit including blueberry, cherry, gooseberry, nectarine, peach, plum; Pistachio; Turf and sod","H304,H315,H317,H318,H332,H335,H361d",300,1,205,0.683333333333333,0.00911221890913111,0.0728046254910795,0.765250177733544
"008541-61","AMBORA DUO","Cymoxanil","Fungizid","Potatoes; Tomatoes; Grapes; Hops; Sugarbeet; Vines","H361fd",300,1,70,0.233333333333333,0.00937163253038652,0.000897257737938034,0.243602223601658
"006281-62","AMEGA 360","Glyphosat","Herbizid","Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns",NA,300,1,0,0,0.0210932487216942,0.0477405803670565,0.0688338290887506
"00A164-60","Amega 360 SL","Glyphosat","Herbizid","Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns","EUH066",300,1,10,0.0333333333333333,0.0210932487216942,0.0477405803670565,0.102167162422084
"025090-00","AMISTAR","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",NA,300,1,0,0,0.0472886782538121,0.313238903820162,0.360527582073974
"008267-00","AMISTAR GOLD","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H302,H332,H351",300,1,95,0.316666666666667,0.023644339126906,0.156619451910081,0.496930457703654
"00A658-00","AMISTAR MAX","Folpet","Fungizid","Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals","EUH066,H302,H317,H331,H351",300,1,180,0.6,0.470971051692918,0.0468617048335592,1.11783275652648
"025090-63","AMPECT","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals",NA,300,1,0,0,0.0472886782538121,0.313238903820162,0.360527582073974
"028314-00","AMPEXIO","Zoxamide","Fungizid","Potatoes; Grapes; Tomatoes; Curcubits including gourd, melons, squash; Onions and garlic","EUH066,H317",300,1,30,0.1,0.0536427253900871,0.0251040579453208,0.178746783335408
"00A956-00","AMSTAF 800 EC","Prosulfocarb","Herbizid","Cereals including winter wheat and winter barley; Potatoes","H304,H315,H317,H318",300,1,110,0.366666666666667,0.145926675485826,0.357433468004176,0.870026810156669
"008532-00","Angelus","Clomazone","Herbizid","Cotton; Vegetables including peas, potatoes, sweet potatoes, green beans, navy beans; Curcubits; Tobacco; Rice; Oilseed rape","H315,H319",300,1,25,0.0833333333333333,0.0576126416286721,0.259979018032977,0.400924992994983
"006316-00","Antak","1-Decanol","Wachstumsregler","Tobacco",NA,300,1,0,0,0.159887894897859,0,0.159887894897859
"007818-00","Antarktis","Florasulam","Herbizid","Wheat; Barley; Oats; Rye; Triticale",NA,300,1,0,0,0.00596853589711363,0.000409972915046489,0.00637850881216012
"005685-64","ANTEJO","Trinexapac","Wachstumsregler","Cereals including wheat, barley, oats, rye; Oilseed rape; Amenity turf and grass","H317,H373",300,1,90,0.3,0.0251574876872355,0.0184847235561875,0.343642211243423
"00B275-00","ANTEVA","Folpet","Fungizid","Fruits including apples, cherry, berries, wine grapes; Ornamentals including roses; Vegetables; Tomatoes; Cereals","EUH066,H317,H319,H330,H351",300,1,215,0.716666666666667,0.75355368270867,0.0749787277336947,1.54519907710903
"00A540-00","Anti-Moos Rasendünger","Eisen-II-sulfat","Herbizid","Sports and amenity turf","H319",300,1,15,0.05,0.00484103048023039,0.000191082613421575,0.055032113093652
"00A519-00","Applaud 25 SC","Buprofezin","Insektizid","Citrus crops; Top fruit; Cucumbers; Tomatoes; Sweet potatoes; Rice; Cotton; Ornamentals",NA,300,1,0,0,0.023435080089283,0.164450330264934,0.187885410354217
"00A949-00","AppleSmart 3,3 VP","1-Methylcyclopropen","Wachstumsregler","Harvested fruit and vegetables especially apples; Ornamentals especially cutflowers, potted flowering plants, spring bedding, nursery andfoliage plants",NA,300,1,0,0,0.0663752991524679,0.011602087184825,0.0779773863372929
"024487-65","APTRELL 60","Metconazol","Fungizid, Wachstumsregler","Cereals including wheat, barley, rye, oats; OSR; Fruit including blueberry, cherry, gooseberry, nectarine, peach, plum; Pistachio; Turf and sod","H304,H315,H317,H318,H332,H335,H361d",300,1,205,0.683333333333333,0.00911221890913111,0.0728046254910795,0.765250177733544
"00B225-00","ARAGON","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"00B006-00","Architect","Mepiquat","Fungizid, Wachstumsregler","Cereals including wheat, oats, barley, rye, triticale; Grass; Onions; Leeks; Garlic","H302,H315,H317",300,1,40,0.133333333333333,0.0083703697114718,0.000112186274509804,0.141815889319315
"026173-63","Ardee 360","Glyphosat","Herbizid","Agriculture including cereals; Soybeans, Glyphosate tolerant crops; Horticulture; Forestry; Domestic gardens; Lawns",NA,300,1,0,0,0.0210932487216942,0.0477405803670565,0.0688338290887506
"024238-00","Arena C","Fludioxonil","Fungizid","Fruit including apples, soft fruit, cranberries, pear, quince, grapes, strawberry and currants; Vegetables including peas, beans; Ornamentals; Wheats; Oats",NA,300,1,0,0,0.00545296935682509,0.0463258928530632,0.0517788622098883
"060122-96","ARENA Weed Control","2,4-D","Herbizid","Turf grass & pastures; Non-cropping situations; Amenity sites; Orchards; Cereals including barley, wheat and oats; Lucerne",NA,300,1,0,0,0.00163895242183857,0.0104362908829271,0.0120752433047657
"008286-60","ARESIN NEO","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn","H302,H317,H373",300,1,100,0.333333333333333,0.102178300492871,0.272834760308138,0.708346394134342
"008950-00","ARGOS","Orangenöl","Wachstumsregler","Animals; Humans","H304,H315,H317",300,1,40,0.133333333333333,0.0347166133380236,0.10168,0.269729946671357
"006218-00","ARIANE C","Clopyralid","Herbizid","Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations","H304,H315,H319,H332",300,1,50,0.166666666666667,0.00819487055837886,0.0194527014739466,0.194314238698992
"027526-00","ARIGO","Rimsulfuron","Herbizid","Maize; Potato; Tomato; Fruit including citrus, apples, pears, cherries, peaches, apricot, grapes; tree nuts; Pistachios","H317,H319,H361d",300,1,105,0.35,0.0051864866950294,0.00840953331572651,0.363596020010756
"00B198-00","ARINEX 30","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"02A325-00","Armicarb Spray","Kaliumhydrogencarbonat","Fungizid","Fruit including grapes, strawberries; apples; Vegetables; Aubergine; Tomatoes; Hemp",NA,300,1,0,0,0.000301500428730921,5.03866858788133e-05,0.000351887114609734
"02A325-61","Armisan AF PilzFrei","Kaliumhydrogencarbonat","Fungizid","Fruit including grapes, strawberries; apples; Vegetables; Aubergine; Tomatoes; Hemp",NA,300,1,0,0,0.000301500428730921,5.03866858788133e-05,0.000351887114609734
"02A948-00","Armisan PilzFrei","Kaliumhydrogencarbonat","Fungizid","Fruit including grapes, strawberries; apples; Vegetables; Aubergine; Tomatoes; Hemp",NA,300,1,0,0,0.0603000857461842,0.0100773371757627,0.0703774229219469
"008286-00","ARNOLD","Diflufenican","Herbizid","Clover-based pastures; Field peas; Lentils; Lupins; Winter cereals; Soybeans; Corn","H302,H317,H373",300,1,100,0.333333333333333,0.102178300492871,0.272834760308138,0.708346394134342
"00B059-00","ARRODIM","Clethodim","Herbizid","Sugarbeet; Soybeans; Potatoes; Sunflowers; Alfalfa; Vegetables including beans & peas, asparagus, carrots, aubergine; Cotton; Fax; Peanuts; Fruit including melons, peaches; Herbs","EUH066,H304,H319,H336",300,1,65,0.216666666666667,0.0743426584488509,0.00242692728414207,0.29343625239966
"008450-60","ARRVA","Clopyralid","Herbizid","Cereals including wheat, barley, oats, triticale; Turf; Ornamentals; Non-cropped and fallow land; Industrial situations","H302,H319",300,1,25,0.0833333333333333,0.0028682046954326,0.00680844551588132,0.0930099835446472
"024602-00","ARTUS","Metsulfuron","Herbizid","Cereals; Land removed from production","H317,H319",300,1,35,0.116666666666667,0.0096976026,0,0.126364269266667
"007851-00","ARVALIN","Zinkphosphid","Rodentizid","Agricultural crops; Vegetables; Ornamentals; Orchards; Crop storage.","H302",300,1,10,0.0333333333333333,0.137300559778102,0.00193326271186441,0.1725671558233
"050425-72","ARVALIN CARB","Calciumcarbid","Repellent, Wildschadenverhütungsmittel","Rats; Mice","H314,H335",300,1,110,0.366666666666667,0.00966408026811898,5.64971751412429e-05,0.376387244109927
"008023-00","Arvalin Forte","Zinkphosphid","Rodentizid","Agricultural crops; Vegetables; Ornamentals; Orchards; Crop storage.","H302",300,1,10,0.0333333333333333,0.137300559778102,0.00193326271186441,0.1725671558233
"008219-00","Ascra Xpro","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H302,H317,H318,H335",300,1,110,0.366666666666667,0.0103462089561385,0.0157595513499221,0.392772426972727
"008632-60","ASKAPHY","Kaliumphosphonat (Kaliumphosphit)","Fungizid","Fruit including avocados, apples, grapes; Ornamentals; Trees; Salad leaves and lettuce; Garlic and shallots; Sprouts and shoots",NA,300,1,0,0,0.0248069228968451,1.1144718859005,1.13927880879735
"006902-00","ASKON","Azoxystrobin","Fungizid","Wheat; Fruit including grapes, citrus, strawberries, peaches; Sunflowers; Vegetables including onions, brassicas and curcubits; Potatoes; Cotton; Pecans; Canola; Soybeans; Peanuts; Tomato; Turf; Ornamentals","H302,H317,H332,H351",300,1,115,0.383333333333333,0.0378309426030497,0.250591123056129,0.671755398992512
"00B269-00","ASSET","Acetamiprid","Insektizid","Leafy Vegetables; Fruiting Vegetables; Fruit including citrus, apples, pears, grapes; Cotton; Ornamental Plants and Flowers","H302,H361d",300,1,80,0.266666666666667,0.329042093432967,0.00305182101114926,0.598760581110783
"034060-63","Assure","Quizalofop-P","Herbizid","Sugarbeet; Fodder beet; Winter and spring OSR; Potatoes; Combining peas; Field beans; Other pulses; Linseed; Sunflowers","H304,H315,H317,H318,H332,H336",300,1,155,0.516666666666667,0.0072992031383894,0.00931810181974699,0.533283971624803
"028854-60","Assynt","Tribenuron","Herbizid","Cereals including wheat, barley, triticale, oats; Grass seed crops; Cotton; Pre-harvest burndown","H317,H319,H373",300,1,105,0.35,0.121402021736716,0.159549949069687,0.630951970806403
"006220-63","Astro 400","Propyzamid","Herbizid","Alfalfa; OSR; Beans; Root crops; Fruit including apples, blackberry, boysenberry, blueberry, cherry, peach, pear, plum, prunes, grapes and others; Artichoke; Clover; Endive and various head lettuce; Ornamentals; Non-cropped and utility sites","H351",300,1,70,0.233333333333333,0.0459849184587008,0.175801248865685,0.455119500657719
"008838-64","ATAPHOS-K","Kaliumphosphonat (Kaliumphosphit)","Fungizid","Fruit including avocados, apples, grapes; Ornamentals; Trees; Salad leaves and lettuce; Garlic and shallots; Sprouts and shoots",NA,300,1,0,0,0.0248069228968451,1.1144718859005,1.13927880879735
"028610-00","Atlantis Direkt","Mefenpyr","Herbizid",NA,"H317,H318",300,1,90,0.3,0.00034632,0,0.30034632
"008188-00","Atlantis Flex","Mefenpyr","Herbizid",NA,"H319",300,1,15,0.05,0.00036,0,0.05036
"035938-00","Atlantis OD","Mefenpyr","Herbizid",NA,"EUH066,H319",300,1,25,0.0833333333333333,0.00011544,0,0.0834487733333333
"028571-00","Atlantis Star","Thiencarbazone","Herbizid","Corn; Sweetcorn; Soybean; Beet; Wheat (Spring & Durum); Turf; Ornamentals","H315,H319",300,1,25,0.0833333333333333,0.00112607877886566,0.0227417532766808,0.10720116538888
"00A070-00","Atonik","Natrium-o-nitrophenolat","Wachstumsregler","Oilseed rape; Tomato; Sugarbeet",NA,300,1,0,0,0.000752108832170341,2.26529851325949e-05,0.000774761817302936
"044915-00","Attribut","Propoxycarbazone","Herbizid","Winter, Spring & Durham wheat",NA,300,1,0,0,1.17776582355677,1.48678834687505,2.66455417043182
"00A462-00","AURELIA","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","EUH066,H319,H335",300,1,35,0.116666666666667,0.0198965556848817,0.030306829519081,0.166870051870629
"005322-00","Aurora","Carfentrazone","Herbizid","Potatoes; Cereals including barley, oats, tritical, wheat and durum wheat; Sports turf & golf-coures","H317",300,1,20,0.0666666666666667,0.0294399764934304,0,0.0961066431600971
"033838-64","Auros 80 EC","Prosulfocarb","Herbizid","Cereals including winter wheat and winter barley; Potatoes","H315,H317,H319",300,1,45,0.15,0.145926675485826,0.357433468004176,0.653360143490002
"030526-61","Austriebs-Spritzmittel Para Sommer","Paraffinöl (CAS 8042-47-5)","Akarizid, Insektizid","Fruit; Vines; Orchards; Fruiting vegetables; Potatoes; Citrus; Ornamentals",NA,300,1,0,0,0.106838801037786,0.209634454473427,0.316473255511212
"024182-67","Austriebsspritzmittel","Paraffinöl (CAS 8042-47-5)","Akarizid, Insektizid","Fruit; Vines; Orchards; Fruiting vegetables; Potatoes; Citrus; Ornamentals",NA,300,1,0,0,0.0891956962792522,0.175015920707173,0.264211616986425
"00A197-62","Auxo Plus","Thiencarbazone","Herbizid","Corn; Sweetcorn; Soybean; Beet; Wheat (Spring & Durum); Turf; Ornamentals","H361d,H373",300,1,140,0.466666666666667,0.00340158820067483,0.0686968630085911,0.538765117875933
"026764-00","Aviator Xpro","Prothioconazol","Fungizid","Cereals including barley, rye, wheat, oats","H319,H335",300,1,25,0.0833333333333333,0.011937933410929,0.0181840977114486,0.113455364455711
"008178-00","AVOXA","Cloquintocet","Herbizid",NA,"H317,H319,H361d",300,1,105,0.35,0,0,0.35
"007402-00","Axcela","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes","H361f",300,1,70,0.233333333333333,0.0103767559394996,0.0014754537487446,0.245185543021578
"00B150-00","Axcela TS","Metaldehyd","Molluskizid","Ornamentals; Fruit trees and bushes; Various other fruits including avocado, citrus and berries; Vegetables including broccoli, cauliflower, cabbage and articokes",NA,300,1,0,0,0.00933908034554962,0.00132790837387014,0.0106669887194198
"026326-00","AXIAL 50","Cloquintocet","Herbizid",NA,"H315,H317,H332,H361d",300,1,115,0.383333333333333,0,0,0.383333333333333
"026845-00","Axial Komplett","Florasulam","Herbizid","Wheat; Barley; Oats; Rye; Triticale","H317,H361d",300,1,90,0.3,0.00596853589711363,0.000409972915046489,0.30637850881216
"007028-00","Axiendo Garten Schädlings-frei","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables",NA,300,1,0,0,0.0979192515444734,0.00276588006375009,0.100685131608223
"007029-00","Axiendo Schädlings-frei Spray","lambda-Cyhalothrin","Insektizid","Cotton; Cereals; Potatoes; Hops; Vegetables",NA,300,1,0,0,0.00208894403294876,5.90054413600019e-05,0.00214794947430877
"00B164-00","AZA","Azadirachtin","Insektizid",NA,"H317",300,1,20,0.0666666666666667,0,0,0.0666666666666667
