"Active Ingredient","MOA 
No."
"Trimethacarb","1A"
"Vamidothion","1B"
"Wolbachia pipientis (Zap)","UNB"
"XMC","1A"
"Xylylcarb","1A"
"zeta-Cypermethrin","3A"
"Zinc phosphide","24A"
