"Active Ingredient","MOA 
No."
"Spinetoram","5"
"Spinosad","5"
"Spirodiclofen","23"
"Spiromesifen","23"
"Spriropidion","23"
"Spirotetramat","23"
"Sulfotep","1B"
"Sulfoxaflor","4C"
"Sulfur","UN"
"Sulfuramid","13"
"Sulfuryl fluoride","8C"
"Tartar emetic","8E"
"tau-Fluvalinate","3A"
"Tebufenozide","18"
"Tebufenpyrad","21A"
"Tebupirimfos","1B"
"Teflubenzuron","15"
"Tefluthrin","3A"
"Temephos","1B"
"Terbufos","1B"
"Tetrachlorvinphos","1B"
