"Active Ingredient","MOA 
No."
"Tetradifon","12D"
"Tetramethrin","3A"
"Tetramethrin [(1R)- isomers]","3A"
"Tetraniliprole","28"
"Thaumatotibia leucotreta GV","31"
"theta-cypermethrin","3A"
"Thiacloprid","4A"
"Thiamethoxam","4A"
"Thiocyclam","14"
"Thiodicarb","1A"
"Thiofanox","1A"
"Thiometon","1B"
"Thiosultap-sodium","14"
"Tolfenpyrad","21A"
"Tralomethrin","3A"
"Transfluthrin","3A"
"Triazamate","1A"
"Triazophos","1B"
"Trichlorfon","1B"
"Triflumezopyrim","4E"
"Triflumuron","15"
