"Active Ingredient","MOA 
No."
"Methidathion","1B"
"Methiocarb","1A"
"Methomyl","1A"
"Methoprene","7A"
"Methoxychlor","3B"
"Methoxyfenozide","18"
"Methyl bromide","8A"
"Methyl isocyanate","8F"
"Metolcarb","1A"
"Mevinphos","1B"
"Milbemectin","6"
"Mineral oil","UNM"
"Monocrotophos","1B"
"Naled","1B"
"Neem oil","UNE"
"Nicotine","4B"
"Nitenpyram","4A"
"Novaluron","15"
"Noviflumuron","15"
"Omethoate","1B"
"Oxamyl","1A"
