"Active Ingredient","MOA 
No."
"Chlorantraniliprole","28"
"Chlordane","2A"
"Chlorethoxyfos","1B"
"Chlorfenapyr","13"
"Chlorfenvinphos","1B"
"Chlorfluazuron","15"
"Chlormephos","1B"
"Chloropicrin","8B"
"Chlorpyrifos","1B"
"Chlorpyrifos-methyl","1B"
"Chromafenozide","18"
"Clofentezine","10A"
"Clothianidin","4A"
"Coumaphos","1B"
"Cryolite","8C"
"Cyanide","24B"
"Cyanophos","1B"
"Cyantraniliprole","28"
"Cyclaniliprole","28"
"Cycloprothrin","3A"
"Cydia pomonella GV","31"
