"Active Ingredient","MOA 
No."
"Diflovidazin","10A"
"Diflubenzuron","15"
"Dimethoate","1B"
"Dimethylvinphos","1B"
"Dimpropyridaz","36"
"Dinotefuran","4A"
"Disodium octaborate","8D"
"Disulfoton","1B"
"DNOC","13"
"d-trans Allethrin","3A"
"Emamectin benzoate","6"
"Empenthrin [(EZ)-(1R)-isomers]","3A"
"Endosulfan","2A"
"EPN","1B"
"Esfenvalerate","3A"
"Ethiofencarb 
Ethion","1A 
1B"
"Ethiprole","2B"
"Ethoprophos","1B"
"Etofenprox","3A"
"Etoxazole","10B"
