"Active Ingredient","MOA 
No."
"Cyenopyrafen","25A"
"Cyflumetofen","25A"
"Cyfluthrin","3A"
"Cyhalothrin","3A"
"Cyhexatin","12B"
"Cypermethrin","3A"
"Cyphenothrin (1R)-trans-
isomers]","3A"
"Cyromazine","17"
"d-cis-trans Allethrin","3A"
"Dazomet","8F"
"DDT","3B"
"Deltamethrin","3A"
"Demeton-S-methyl","1B"
"Diafenthiuron","12A"
"Diatomaceous earth","UNM"
"Diazinon","1B"
"Dichlorvos/ DDVP","1B"
"Dicloromezotiaz","4E"
"Dicofol","UN"
"Dicrotophos","1B"
