"Active Ingredient","MOA 
No."
"Indoxacarb","22A"
"Isocyloseram","30"
"Isofenphos","1B"
"Isoprocarb","1A"
"Isopropyl O- (methoxyaminothio- 
phosphoryl) salicylate","1B"
"Isoxathion","1B"
"Kadethrin","3A"
"Kinoprene","7A"
"l
ambda-Cyhalothrin","3A"
"Ledprona","35"
"Lepimectin","6"
"Lime sulfur","UN"
"Lufenuron","15"
"Malathion","1B"
"Mancozeb","UN"
"Mecarbam","1B"
"Metaflumizone","22B"
"Metam","8F"
"Metarhizium brunneum  strain 
F52","UNF"
"Methamidophos","1B"
