"Active Ingredient","MOA 
No."
"Propetamphos","1B"
"Propoxur","1A"
"Prothiofos","1B"
"Pyflubumide","25B"
"Pymetrozine","9B"
"Pyraclofos","1B"
"Pyrethrins (pyrethrum)","3A"
"Pyridaben","21A"
"Pyridalyl","UN"
"Pyridaphenthion","1B"
"Pyrifluquinazon","9B"
"Pyrimidifen","21A"
"Pyriproxyfen","7C"
"Quinalphos","1B"
"Resmethrin","3A"
"Rotenone (Derris)","21B"
"Silafluofen","3A"
"Sodium borate","8D"
"Sodium cyanide","24B"
"Sodium metaborate","8D"
"Spidoxamat","23"
