"Active Ingredient","MOA 
No."
"Famphur","1B"
"Fatty acid monoesters with 
glycerol or propanediol","UNE"
"Fenamiphos","1B"
"Fenazaquin","21A"
"Fenbutatin oxide","12B"
"Fenitrothion","1B"
"Fenmezoditiaz","4E"
"Fenobucarb","1A"
"Fenoxycarb","7B"
"Fenpropathrin","3A"
"Fenpyroximate","21A"
"Fenthion","1B"
"Fenvalerate","3A"
"Fipronil","2B"
"Flometoquin","34"
"Flonicamid","29"
"Fluacrypyrim","20C"
"Flubendimide","28"
"Flucycloxuron","15"
"Flucythrinate","3A"
