"Active Ingredient","MOA 
No."
"Oxazosulfyl","UN"
"Oxydemeton-methyl","1B"
"Paecilomyces fumosoroseus 
Apopka strain 97","UNF"
"Parathion","1B"
"Parathion-methyl","1B"
"Permethrin","3A"
"Phenothrin [(1R)- trans- isomer]","3A"
"Phenthoate","1B"
"Phorate","1B"
"Phosalone","1B"
"Phosmet","1B"
"Phosphamidon","1B"
"Phosphine","24A"
"Phoxim","1B"
"Pirimicarb","1A"
"Pirimiphos- methyl","1B"
"Potassium cyanide","24B"
"Prallethrin","3A"
"Profenofos","1B"
"Propargite","12C"
