"Active Ingredient","MOA 
No."
"Azamethiphos","1B"
"Azinphos-ethyl","1B"
"Azinphos-methyl","1B"
"Azocyclotin","12B"
"Bacillus thuringiensis","11A"
"Bacillus sphaericus","11B"
"Beauveria bassiana strains","UNF"
"Bendiocarb","1A"
"Benfuracarb","1A"
"Bensultap","14"
"Benzoximate","UN"
"Benzpyrimoxan","UN"
"beta-Cyfluthrin","3A"
"beta-Cypermethrin","3A"
"Bifenazate","20D"
"Bifenthrin","3A"
"Bioallethrin","3A"
