"Active Ingredient","MOA 
No."
"Flufenoxuron","15"
"Flumethrin","3A"
"Flupyradifurone","4D"
"Flupyrimin","4F"
"Fluxametamide","30"
"Formetanate","1A"
"Fosthiazate","1B"
"Furathiocarb","1A"
"gamma-Cyhalothrin","3A"
"GS-omega/kappa HXTX-Hv1a","32"
"Halfenprox","3A"
"Halofenozide","18"
"Helicoverpa armigera NPV","31"
"Heptenophos","1B"
"Hexaflumuron","15"
"Hexythiazox","10A"
"Hydramethylnon","20A"
"Hydroprene","7A"
"Imicyafos","1B"
"Imidacloprid","4A"
"Imiprothrin","3A"
