"Active Ingredient","MOA 
No."
"1,3-dichloropropene","8A"
"Abamectin","6"
"Acephate","1B"
"Acequinocyl","20B"
"Acetamiprid","4A"
"Acrinathrin","3A"
"Acynonapyr","33"
"Afidopyropen","9D"
"Akanthomyces muscarius Ve6","UNF"
"Alanycarb","1A"
"Aldicarb","1A"
"Allethrin","3A"
"a
l
pha-Cypermethrin","3A"
"Aluminium phosphide","24A"
"Amitraz","19"
"Anticarsia gemmatalis MNPV","31"
"Azadirachtin","UN"
